"%s and greater","%s и повече"
"<strong>%d item(s)</strong> were found using the following search criteria","Намерени са <strong>%d артикул(а)</strong> с посочените критерии за търсене"
"Advanced Search","Разширено търсене"
"Advanced Search Form","Форма за разширено търсене"
"Advanced Search Result","Резултат от разширено търсене"
"All","Всичко"
"Applies for ""Like"" search type only.","Приложимо само за тип за търсене "Като"."
"Apply Layered Navigation if Search Results are Less Than","Приложи Филтър навигация, ако резултатите от търсенето са по-малко от"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process."
"Autogenerated Site Map","Автоматично генерирана карта на сайта"
"Catalog Advanced Search","Продуктов каталог - разширено търсене"
"Catalog Search","Търсене в Каталог"
"Catalog Search Index","Индекс на търсене в Каталог"
"Don't see what you're looking for?","Не виждате това което търсите?"
"Enter ""0"" to enable layered navigation for any number of results.","Не виждате това, което търсите?"
"Go","Продължи"
"Go to Home Page","Към начална страница"
"Grid","Табличен изглед"
"Home","Начало"
"List","Списък"
"Maximum Query Length","Максимална дължина на заявка за търсене"
"Maximum Query Words Count","Максимален брой думи"
"Maximum Search query  length is %s. Your query was cut.","Максималната дължина на заявка за търсене е %s. Вашата заявка е скъсена."
"Minimal Query Length","Минимална дължина на заявка за търсене"
"Minimum Search query length is %s","Минималната дължина на заявка за търсене е %s"
"Modify your search","Коригирайте критериите за търсене"
"No","Не"
"No items were found using the following search criteria.","Няма намерени артикули, удовлетворяващи посочените критерии за търсене."
"Please specify at least one search term.","Моля, въведете поне един израз за търсене."
"Popular Search Terms","Често използвани критерии за търсене"
"Quick Search Form","Форма за бързо търсене"
"Rebuild Catalog product fulltext search index","Обновяване на пълно-текстов индекс на търсене за подукти"
"Relevance","Точност"
"Results","Резултати"
"Search","Търсене"
"Search Settings","Настройки за търсене"
"Search Terms","Критерии за търсене"
"Search Type","Тип търсене"
"Search entire store here...","Търсене в целия магазин..."
"Search results for '%s'","Резултати за '%s'"
"Search results for: '%s'","Резултати: '%s'"
"Search:","Търсене:"
"Specified date is invalid.","Посочената дата не е валидна"
"Subscribe to Feed","Абониране за Feed данни"
"There are no search terms available.","Няма налични критерии за търсене."
"Yes","Да"
"Your search returns no results.","Не са намерени резултати."
"up to %s","до %s"
