"%s was added to your shopping cart.","%s е добавен в количката."
"%s was updated in your shopping cart.","%s е обновен в количката."
"* Required Fields","* Задължителни полета"
"Add New Address","Добави нов адрес"
"Add New Condition","Добави ново условие"
"Add coupon code for shopping cart","Add coupon code for shopping cart"
"Add gift messages to shopping cart","Add gift messages to shopping cart"
"Add product to shopping cart","Добави продукт към количката"
"Add product(s) to shopping cart","Добави продукт(и) към количката"
"Add to Cart","Купи"
"Add to Compare","Добави за сравнение"
"Add to Wishlist","Добави към списък с желания"
"Additional Product Info","Допълнителна информация за продукт"
"Address","Адрес"
"Address %s of %s","Адрес %s от %s"
"After Adding a Product Redirect to Shopping Cart","Пренасочи към количката след добавяне на продукта"
"Allow Guest Checkout","Разреши на разплащане като Гост"
"Already registered?","Имате регистрация?"
"An error occurred in the process of payment","Възникна грешка по време на плащане"
"An error occurred while deleting this condition.","Възникна грешка при изтриване на това условие."
"An error occurred while saving this condition.","Възникна грешка при съхраняване на това условие."
"Apply Coupon","Прилагане на ваучър"
"Are you sure you would like to remove this item from the shopping cart?","Сигурен ли сте, че искате да премахнете този артикул от количката?"
"Back","Обратно"
"Back to Billing Information","Обратно към информация за плащане"
"Back to Select Addresses","Обратно към избор на адрес"
"Back to Shipping Information","Обратно към информация за доставка"
"Back to Shopping Cart","Обратно към количката"
"Based on your selection, you may be interested in the following items:","Базирано на вашия избор, може би ще проявите интерес и към следните продукти:"
"Billing Address","Адрес за плащане"
"Billing Information","Информация за плащане"
"Billing Information - %s","Информация за плащане - %s"
"Cancel Coupon","Анулиране на ваучър"
"Cannot add item to the shopping cart.","Невъзможно добавянето на продукт в количката."
"Cannot add the item to shopping cart","Невъзможно добавянето на продукта в количката"
"Cannot add the item to shopping cart.","Невъзможно е добавянето на продукта в количката."
"Cannot apply the coupon code.","Не може да бъде приложен кодът от ваучъра."
"Cannot configure product.","Конфигурирането на продукт е невъзможно"
"Cannot open the overview page","Не може да бъде отворена страницата за преглед"
"Cannot process the item.","Cannot process the item."
"Cannot remove the item.","Артикулът не може да бъде премахнат."
"Cannot update shopping cart.","Количката не може да бъде обновена."
"Cannot update the item.","Обновяването е невъзможно"
"Card Verification Number Visual Reference","Визуална референция на верификационен номер на карта"
"Cart Product API","Cart Product API"
"Cart Subtotal:","Сума:"
"Change","Промяна"
"Change Billing Address","Промени адреса на разплащане"
"Checkbox Text","Текст на отметка"
"Checkout","Разплащане"
"Checkout Conditions","Условия за разплащане"
"Checkout Method","Начин на разплащане"
"Checkout Options","Опции на разплащане"
"Checkout Progress Wrapper","Checkout Progress Wrapper"
"Checkout Section","Секция Разплащане"
"Checkout Terms and Conditions","Правила и условия за разплащане"
"Checkout as Guest","Разплащане като гост"
"Checkout as a Guest or Register","Разплащане като гост или регистрация"
"Checkout with Multiple Addresses","Разплащане с няколко адреса за доставка"
"City","Град"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Кликнете <a href=""%s"" onclick=""this.target=\'_blank\"">тук за печат</a> на копие от потвърждение на поръчката."
"Click <a href=""%s"">here</a> to continue shopping.","Кликнете <a href=""%s"">тук</a>, за да продължите с покупките."
"Close","Затвори"
"Company","Фирма"
"Condition Name","Име на условие"
"Configurable Product Image","Изображение на Конфигуриран продукт"
"Configure Cart Item","Configure Cart Item"
"Confirm Password","Потвърди паролата"
"Content","Съдържание"
"Content Height","Височина за Съдържание"
"Content Height (css)","Височина за Съдържание (css)"
"Continue","Продължи"
"Continue Shopping","Продъжи покупките"
"Continue to Billing Information","Продължи към информация за плащане"
"Continue to Review Your Order","Продължи към преглед на поръчката"
"Continue to Shipping Information","Продължи към информация за доставка"
"Country","Държава"
"Coupon code ""%s"" is not valid.","Кодът от ваучър ""%s"" е невалиден."
"Coupon code ""%s"" was applied.","Кодът от ваучър ""%s"" е приложен."
"Coupon code was canceled.","Ваучера е отменен"
"Create Billing Address","Създай адрес за раплащане"
"Create Shipping Address","Създай адрес за доставка"
"Create an order from shopping cart","Create an order from shopping cart"
"Create shopping cart","Create shopping cart"
"Customer Information","Информация за клиент"
"Customer's information","Информация за клиент"
"Data saving problem","Проблем при записване на данните"
