"Collected Files Count","Брой на събраните файлове"
"Compilation","Компилация"
"Compilation State","Състояние на компилацията"
"Compilation error","Грешка при компилиране"
"Compiled","Компилирано"
"Compiled Scopes Count","Брой на компилационни обхвати"
"Compiler Status","Статус на компилатора"
"Compiler include path is disabled.","Пътят за включване на компилатора е неактивен."
"Compiler include path is enabled.","Compiler include path is enabled."
"Directory ""%s"" must be writeable","Директория ""%s"" трябва да бъде с права за писане"
"Disable","Деактивирай"
"Disabled","Неактивно"
"Enable","Включи"
"Enabled","Активиран"
"File ""%s"" must be writeable","Файл ""%s"" трябва да е с права за писане"
"Not Compiled","Не е компилирано"
"Run Compilation Process","Стартирай процес на компилиране"
"Scopes Compilation Settings","Компилационни настройки на обхвати"
"System","Система"
"The compilation has completed.","Компилацията беше завършена."
"Tools","Инструменти"
