"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' appears to be a DNS hostname but cannot extract TLD part"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' appears to be a DNS hostname but cannot match TLD against known list"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' appears to be a DNS hostname but contains a dash in an invalid position"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' appears to be a local network name but local network names are not allowed"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' appears to be an IP address, but IP addresses are not allowed"
"'%value%' does not appear to be a valid local network name","'%value%' does not appear to be a valid local network name"
"* Required Fields","* Задължителни полета"
"ALL GROUPS","Всички Групи"
"Account Dashboard","Профил табло"
"Account Information","Информация за профил"
"Account Sharing Options","Опции за споделяне"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Нужно е потвърждение на профила. Моля, проверете вашия имейл с линк за потвърждение. За повторно изпращане <a href=""%s"">тук</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Нужно е потвърждение на профила. Моля, проверете вашия имейл за линк за потвърждение. За повторно изпращане <a href=""%s"">тук</a>."
"Action","Действие"
"Add New Address","Добави нов адрес"
"Add New Customer","Добави нов клиент"
"Add New Customer Group","Добави нова клиентска група"
"Added From","Добавена форма"
"Additional Address Entries","Допълнителни адресни данни"
"Address","Адрес"
"Address Book","Адресна книга"
"Address Books","Адресни книги"
"Address Information","Информация за адрес"
"Address Templates","Шаблони за адрес"
"Addresses","Адреси"
"Admin","Админ"
"All","Всичко"
"All Store Views","Всички изгледи за магазин"
"All countries","Всички държави"
"Always optional.","Винаги по желание."
"Amount","Сума"
"An error occurred while deleting the address.","Възникна грешка при изтриването на адреса"
"An error occurred while retrieving the option value: %s.","Възникна грешка при извличане стойност на опция: %s."
"An error occurred while saving the collection, aborting. Error: %s","Възникна грешка при съхраняване на колекция, анулиране. Грешка: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Невалиден идентификатор на опция за %s (%s), пропускане на записа."
"Approved","Одобрено"
"Are you sure that you want to remove this item?","Сигурен ли сте, че искате да премахнете този артикул?"
"Are you sure you want to cancel adding of this address?","Сигурен ли сте, че искате да откажете добавянето на този адрес?"
"Are you sure you want to delete this address?","Сигурен ли сте, че искате да изтриете този адрес?"
"Are you sure?","Сигурен ли сте?"
"Array of Entity collections is expected.","Очаква се масив тип колекция от единици."
"Assign a Customer Group","Присъединяване към клиентска група"
"Average Sale","Средна продажба"
"Back","Обратно"
"Back - link to the previously viewed page","Назад – линк към предишно разглежданата страница"
"Back to Login","Назад към Вход"
"Bad request.","Невалидна заявка."
"Bill to Name","Име за сметка"
"Bought From","Закупено от"
