"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target="_blank">Линк</a>"
"An error occurred while opening file: ""%s"".","Грешка при отваряне на файл: ""%s""."
"Could not load file: ""%s"".","Невъзможно е зареждане на файл: ""%s""."
"Could not save file: %s.","Невъзможно е записване на файл: %s."
"Declared adapter %s was not found.","Декларирания адаптер %s ен беше намерен."
"Destination folder ""%s"" is not a directory.","Целева папка ""%s"" не е директория."
"Destination folder ""%s"" is not writable.","Destination folder ""%s"" is not writable."
"Done","Готово"
"Dry run set, stopping execution.","Пробно стартиране, спиране на изпълнение."
"ETA: %s","ETA: %s"
"Error in field mapping: field list for mapping is not defined.","Грешка в присъединяване на поле: не е дефиниран списък с поле за присъединяване."
"File ""%s"" does not exist.","Файл ""%s"" не съществува."
"Found %d rows.","Намерени %d реда."
"Less than a minute","По-малко от минута"
"Loaded successfully: ""%s"".","Успешно заредено: ""%s""."
"Memory Used: %s","Използвана памет: %s"
"Method ""%s"" not defined in adapter %s.","Метод ""%s"" не е дефиниран в адаптер %s."
"Method ""%s"" was not defined in adapter %s.","Метод ""%s"" не беше дефиниран в адаптер %s."
"Please declare ""adapter"" and ""method"" nodes first.","Моля декларирайте първо "adapter" и "method" елементи."
"Processed records: %s","Обработени записа: %s"
"Saved successfully: ""%s"" [%d byte(s)].","Успешно записани: ""%s"" [%d байт(а)]."
"Sheet 1","Страница 1"
"Skip undefined row.","Пропусни недифиниран ред."
"Starting %s :: %s","Стартиране %s :: %s"
"The destination folder ""%s"" does not exist or there is no access to create it.","Целевата папка ""%s"" ен съещствува или няма права за нейното създаването."
"Total records: %s","Общо записи: %s"
"hour","час"
"hours","часа"
"minute","минута"
"minutes","минути"
