"-- Please select --","-- Моля изберете --"
"Allowed Currencies","Позволени валути"
"Base Currency","Базова валута"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"")."
"Cannot retrieve rate from %s.","Невъзможно е извличането на ставки от %s."
"Connection Timeout in Seconds","Изтичане на връзка в секунди"
"Continue &raquo;","Продължи &raquo;"
"Country","Държава"
"Country API","Api Държави"
"Country and Format Type combination should be unique","Комбинацията от държава и тип формат трябва да е уникална"
"Currency","Валута"
"Currency Options","Валутни опции"
"Currency Setup","Настройка Валути"
"Currency Update Warnings","Предупреждения при обновяване на валута"
"Default Display Currency","Валута за показване по подразбиране"
"Directory","Директория"
"Enabled","Активиран"
"Error Email Recipient","Имейл получател за грешки"
"Error Email Sender","Имейл подател за грешки"
"Error Email Template","Имейл шаблон за грешки"
"FATAL ERROR:","ФАТАЛНА ГРЕШКА:"
"Frequency","Честота"
"Installed Currencies","Инсталирани валути"
"Invalid Import Service specified.","Избран е невалидна услуга за импорт."
"Invalid country code: %s","Невалиден код на държава: %s"
"Invalid rates received","Получени са невалидни ставки"
"Invalid target currency.","Невалидна целева валута."
"List of countries","Списък държави"
"List of regions in specified country","List of regions in specified country"
"Postal Code is Optional for the following countries","Пощенски код е незадължителен в следните държави"
"Region","Регион"
"Region API","Api Региони"
"Scheduled Import Settings","Планирани настройки за импорт"
"Select Your Currency","Изберете вашата валута"
"Service","Услуга"
"Start Time","Начало"
"State/Province","Област/Община"
"Strikeiron Email Update Warnings","Strikeiron Email Update Warnings"
"Unable to initialize the import model.","Невъзможно е инициализиране на импорт модела."
"Undefined rate from ""%s-%s"".","Недифинирана ставка от ""%s-%s""."
"WARNING:","ПРЕДУПРЕЖДЕНИЕ:"
"Webservicex","Webservicex"
"Your current currency is: %s","Текуща валута: %s"
