"""%s"" contains not only digit characters.","""%s"" contains not only digit characters."
"""%s"" does not fit the entered date format.","""%s"" does not fit the entered date format."
"""%s"" exceeds the allowed file size.","""%s"" exceeds the allowed file size."
"""%s"" exceeds the allowed length.","""%s"" exceeds the allowed length."
"""%s"" has not only alphabetic and digit characters.","""%s"" has not only alphabetic and digit characters."
"""%s"" has not only alphabetic characters.","""%s"" has not only alphabetic characters."
"""%s"" height exceeds allowed value of %s px.","""%s"" height exceeds allowed value of %s px."
"""%s"" invalid type entered.","""%s"" invalid type entered."
"""%s"" is a required value.","""%s"" is a required value."
"""%s"" is an empty string.","""%s"" is an empty string."
"""%s"" is not a valid URL.","""%s"" is not a valid URL."
"""%s"" is not a valid date.","""%s"" is not a valid date."
"""%s"" is not a valid email address.","""%s"" is not a valid email address."
"""%s"" is not a valid file","""%s"" is not a valid file"
"""%s"" is not a valid file extension.","""%s"" is not a valid file extension."
"""%s"" is not a valid file.","""%s"" is not a valid file."
"""%s"" is not a valid hostname.","""%s"" is not a valid hostname."
"""%s"" is not a valid image format","""%s"" is not a valid image format"
"""%s"" length must be equal or greater than %s characters.","""%s"" length must be equal or greater than %s characters."
"""%s"" length must be equal or less than %s characters.","""%s"" length must be equal or less than %s characters."
"""%s"" width exceeds allowed value of %s px.","""%s"" width exceeds allowed value of %s px."
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' appears to be a DNS hostname but cannot extract TLD part"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' appears to be a DNS hostname but cannot match TLD against known list"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' appears to be a DNS hostname but contains a dash in an invalid position"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' appears to be a local network name but local network names are not allowed"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' appears to be an IP address, but IP addresses are not allowed"
"'%value%' does not appear to be a valid URI hostname","'%value%' does not appear to be a valid URI hostname"
"'%value%' does not appear to be a valid local network name","'%value%' does not appear to be a valid local network name"
"'%value%' does not match the expected structure for a DNS hostname","'%value%' does not match the expected structure for a DNS hostname"
"A joint field with this alias (%s) is already declared","Общо поле с този псевдоним (%s) е вече деклариран."
"Add Option","Добави опция"
"An error occurred while loading a record, aborting. Error: %s","An error occurred while loading a record, aborting. Error: %s"
"An error occurred while loading the collection, aborting. Error: %s","Грешка при зареждане на колекция, прекратяване на операцията. Грешка: %s"
"An error occurred while saving a record, aborting. Error: ","Грешка при съхраняване на запис, прекратяване на операцията. Грешка:  "
"Attempt to add an invalid object","Опит за добавяне на невалиден обект."
"Attribute '%s' used in configurable products","Атрибут '%s', използван в конфигурирани продукти."
"Attribute Code","Атрибут Код"
"Attribute Label","Атрибут Етикет"
"Attribute Properties","Атрибут Настройки"
"Attribute object is undefined","Attribute object is undefined"
"Attribute set with the ""%s"" name already exists.","Вече съществува атрибут група с име ""%s""."
"Attribute with the same code","Атрибут със същия код"
"Can\'t create table: %s","Can\'t create table: %s"
"Catalog Input Type for Store Owner","Входящ тип за собственик на магазин"
"Current module EAV entity is undefined","Current module EAV entity is undefined"
"Current module pathname is undefined","Current module pathname is undefined"
"Data integrity: No header row found for attribute","Цялостност на данните: не е намерен заглавен ред за атрибутe."
"Date","Дата"
"Decimal Number","Десетично число"
"Default Product Listing Sort by not exists on Available Product Listing Sort By","Стойност по подразбиране за 'сортиране по' на продукт списък не съществува на наличен списък с продукти (непреведимо, фикс!?!)"
"Default Value","Стойност по подразбиране"
"Default option value is not defined","Не е зададена стойност за Опция по подразбиране."
"Delete","Изтрий"
"Dropdown","Падащо меню"
"Email","Имейл"
"Entity collection expected.","Очаква се Колекция от единици."
"Entity collections expected.","Очаква се Колекции от единици."
"Entity instance is not defined","Entity instance is not defined"
"Entity is not initialized","Единицата не е инициализирана."
"Entity object is undefined","Entity object is undefined"
"Failed to load node %s from config","Грешка при зареждане на елемент %s от конфигурация."
"Form Element with the same attribute","Елемент от форма със същия атрибут"
"Form Fieldset with the same code","Fieldset от форма със същия код"
"Form Type with the same code","Тип на форма със същия код"
"Form code is not defined","Form code is not defined"
"Frontend label is not defined","Недефиниран етикет за публичен сайт."
"Input Validation for Store Owner","Входяща валидация за собственик на магазина"
"Integer Number","Цяло число"
"Invalid EAV attribute.","Невалиден EAV атрибут."
"Invalid alias, already exists in joint attributes","Невалиден псевдоним, вече съществува в общите полета."
"Invalid attribute name: %s","Невалидно име на атрибут: %s."
"Invalid attribute requested: %s","Заявен е невалиден атрибут: %s"
"Invalid attribute type","Невалиден тип на атрибут."
