"(Make sure you keep it in a safe place.)","(Make sure you keep it in a safe place.)"
"(Optional. Leave blank for no prefix)","(Незадължително. Оставете празно ако не желаете префикс)"
"(ver. %s)","(вер. %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Допълнителен път добавен след базовия URL адрес за достъп до административен панел напр. admin, backend, control и т.н.)."
"Admin Path","Път за администрация"
"After successfull installation please click the button below.","Моля изберете бутона по-долу след успешна инсталация."
"All packages were installed, click 'OK' to continue with installation.","Всички пакети бяха инсталирани, натиснете 'OK' за да продължите с инсталацията."
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Алтернативно бихте могли да опитате метод 'Ръчно изтегляне и обновяване' ."
"Base URL","Базов URL адрес"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more)."
"Check out our","Проверете нашето - ОТ ПРЕВОДАЧА - КАКВО?!?"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Изерете само ако е невъзможно автоматичното валидиране на сигурен URL адрес, например ако е необходима HTTP оторизация."
"Check this box only if it is not possible to automatically validate the Base URL.","Изерете само ако е невъзможно автоматичното валидиране на базов URL адрес."
"Choose this if you would like to test frontend and backend functionality.","Изберете ако искате да тествате функционалността на публичния сайт и администрацията."
"Configuration","Конфигурация"
"Confirm Password","Потвърди паролата"
"Connection","Връзка"
"Continue","Продължи"
"Continue After Manual Download","Продължение след ръчно сваляне"
"Continue Full Download / SVN Installation","Пордължи пълно изтегляне / SVN инсталация"
"Create Admin Account","Създаване на Администраторски профил"
"Currently this is the most stable state available for Magento packages.","Това е последното, възможно най-устойчиво ниво за Magento пакети."
"Database","База данни"
"Database Connection","Свързване с база данни"
"Database Name","Име на база данни"
"Database Name cannot be empty.","Database Name cannot be empty."
"Database Type","Database Type"
"Database connection error.","Грешка при свързване с базата данни."
"Database host","Хост на базата данни"
"Database user name","Потребителско име за база данни"
"Database user password","Парола за база данни"
"Default Currency","Валута по подразбиране"
"Download","Изтегляне"
"Download Magento Core Modules and Updates","Изтегли Magento модули и обновявания"
"Downloading and installing Magento, please wait...","Downloading and installing Magento, please wait..."
"Email","Имейл"
"Email Address","Имейл адрес"
"Enable Charts","Разреши графики"
"Enable this option if you want the charts to be displayed on Dashboard.","Enable this option if you want the charts to be displayed on Dashboard."
"Enable this option only if you have SSL available.","Активирайте тази опция само ако имате поддръжка на SSL."
"Encryption Key","Ключ за криптиране"
"File System","Файлова система"
"First Name","Име"
"Full Download / SVN Installation","Full Download / SVN Installation"
"Get ready to experience Open-Source eCommerce Evolved.","Подгответе се да изпитате развитието на eCommerce с отворен код."
"Go to Backend","Към администрация"
"Go to Frontend","Към сайта"
"Having trouble installing Magento?","Проблеми с инсталацията на Magento?"
"Help Us to Keep Magento Healthy","Погнете ни да поддържаме Magenot стабилно"
"Host","Хост"
"I agree to the above terms and conditions.","Съгласен съм с Условията за ползване по-горе."
"If you are a developer and would like to have the latest public updates, choose this option.","Изберете тази опция ако сте уеб разработчик и желаете да имате последните публични актуализации."
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files."
"If you are running the install wizard over a previously downloaded and installed Magento installation, proceed with this method.","Продължете с този метод ако инсталирате върху предишно изтеглена и инсталирана Magento система."
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation."
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","Ако сте изтеглили пълния инсталационен пакет или сте инсталирали Magento през SVN, би трябвало да пропуснете инсталирането на пакети и валидацията, като използвате бутона по-долу."
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files."
"If your server is running on MS Windows, most probably you will not need to change anything.","Ако системата ви върви на MS Windows, най-вероятно няма нужда да променяте каквото и да било."
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","В противен случай е ноебходимо да направите Magento файлове с права за писане за потребителя, под който върви процесът на уеб сървъра."
"Installation","Инсталация"
"Installation Guide","Инсталационно ръководство"
"Last Name","Фамилия"
"License Agreement","Лицензно споразумение"
"Locale","Регион"
"Locale settings","Регионални настройки"
"Localization","Локализация"
"Login Information","Информация за вход"
"Magento","Magento"
"Magento Connect Manager Deployment","Magento Connect Manager Deployment"
"Magento Installation Wizard","Инсталационен Magento помощник"
"Magento is a trademark of Magento Inc. Copyright &copy; %s Magento Inc.","Magento е търговска марка на Magento Inc. Авторско право &copy; %s Magento Inc."
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page.","Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page."
"Manual Downloads and Upgrades","Ръчно изтегляне и актуализиране"
"No resource for %s DB model.","No resource for %s DB model."
"One of PHP Extensions ""%s"" must be loaded.","Едно от разширенията ""%s"" за PHP трябва да е заредено."
"PHP Extension '%s' loaded","PHP разширение '%s' е заредено"
"PHP extension ""%s"" must be loaded.","PHP разширение ""%s"" трябва да бъде заредено."
"Package Management through the Web","Управление на пакети през Уеб"
"Password","Парола"
"Password Confirmation","Потвърждение на парола"
"Path ""%s"" must be writable.","Път ""%s"" трябва да има права за писане."
"Personal Information","Лична информация"
"Please correct the user data and try again.","Please correct the user data and try again."
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.","Моля убедете се, че <code>mod_rewrite</code> е активен в конфигурацията на Apache."
"Please note that it is much less stable than beta.","Необходимо е да Ви известим, че това е много по малко стабилна версия от бета версия."
"Please note that only UNIX, Linux and Mac OS X shells are currently supported. For Windows use the '%s' option.","Необходимо е да Ви известим, че към момента се поддържат шелове само за UNIX, Linux и Mac OS X. За Windows използвайте опция '%s'."
"Please set all required settings before clicking Continue","Моля задайте всички задължителни настройки преди да изберете 'Продължи'"
"Preferred stability: %s","Предпочитано ниво на стабилност: %s"
"Proceed With Automatic Download (%s)","Продължи с автоматично сваляне (%s)"
"Provide a complete base URL for SSL connection. For example: %s","Укажете пълен базов URL адрес за SSL свързване. Например: %s"
"Report All Bugs","Докладване на проблеми"
"Required Fields","Задължителни полета"
"Response from server isn\'t valid.","Response from server isn\'t valid."
"Run admin interface with SSL","Използвай администрация с SSL"
"Run this in your shell from Magento root folder:","Стартирайте следното във Вашия шел от главна Magento папка:"
"Save Session Data In","Записване на данни на сесията в"
"Save Session Files In","Записване файлове на сесията в"
"Secure Base URL","Сигурен базов URL адрес"
"Session Storage Options","Опции за съхраняване на сесия"
"Setting preferred state to: %s","Задаване на предпочитано състояние: %s"
"Skip Base URL Validation Before the Next Step","Пропусни валидацията на базов URL адрес преди следваща стъпка"
"Skip Secure URL validation before next step","Пропусни валидацията на сигурен URL адрес преди следваща стъпка"
"Tables Prefix","Префикс на таблици"
"The URL ""%s"" is invalid.","The URL ""%s"" is invalid."
"The URL ""%s"" is not accessible.","URL адресът ""%s"" е невалиден."
"There was a problem installing Magento packages. Please read the log, correct errors and try again.","There was a problem installing Magento packages. Please read the log, correct errors and try again."
"Time Zone","Часова зона"
"Use Secure URLs (SSL)","Използвай сигурни URL адреси (SSL)"
"Use Web Server (Apache) Rewrites","Използвай Уеб сървър (Apache) презаписвания"
"User Name","Потребителско име"
"User Password","Парола"
"Username","Потребителско име"
"Validation","Валидация"
"Web access options","Опции за уеб достъп"
"Welcome","Здравейте"
"Welcome to Magento's Installation Wizard","Добре дошли на Инсталационния помощник на Magento"
"You can specify server port, ex.: localhost:3307<br />If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock","You can specify server port, ex.: localhost:3307<br />If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock"
"You could enable this option to use web server rewrites functionality for improved search engines optimization.","Можете да активирате тази опция за използване на уеб сървър презаписвания за допълнителна оптимизация за търсещи машини."
"You're All Set","Всичко е готово"
"You're All Set!","Всичко е готово!"
