" Copy"," Необходима е последна версия на Adobe Flash Player. <a href=""%s"">Инсталирайте Flash</a>"
"Action","Действие"
"Add New Template","Добавяне на нов шаблон"
"Add to Queue","Добави в списък със задачи"
"Allow Guest Subscription","Позволи абонамент за гости"
"An error occurred while saving your subscription.","Грешка при записване на Вашия абонамент."
"Are you sure that you want to delete this template?","Сигурен ли сте, че искате да изтриете този шаблон?"
"Are you sure that you want to strip all tags?","Сигурен ли сте, че искате да премахнете всички тагове?"
"Back","Обратно"
"Cancel","Отказ"
"Cancelled","Отказан"
"Cannot mark as received subscriber.","Невъзможно е маркиране на абонат като получен."
"Confirmation Email Sender","Подател за имейл за потвърждение"
"Confirmation Email Template","Шаблон за имейл за потвърждение"
"Confirmation request has been sent.","Заявка за потвърждение беше успешно изпратена."
"Convert to Plain Text","Конвертирай в чист текст"
"Create Newsletter Template","Създай шаблон за бюлетин"
"Customer","Клиент"
"Customer First Name","Име на клиент"
"Customer Last Name","Фамилия на клиента"
"Customer My Account Newsletter Subscriptions","Профил на клиент за абонаменти за бюлетини"
"Date Added","Дата на добавяне"
"Date Updated","Дата на обновяване"
"Delete","Изтрий"
"Delete Selected Problems","Изтрий избраните проблеми"
"Delete Template","Изтрий шаблон"
"Do you really want to cancel the queue?","Наистина ли искате да откажете задачата?"
"Duplicate template code.","Дублициране на код на шаблон."
"Edit Newsletter","Редактирай бюлетин"
"Edit Newsletter Template","Редактирай шаблон на бюлетин"
"Edit Queue","Редактирай задачи"
"Edit Template","Редактирай шаблон"
"Email","Имейл"
"Enter your email address","Въведете Вашия имейл адрес"
"Error Code","Код на грешка"
"Error Text","Текст на грешка"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Последвайте тази връзка за анулиране на абонамента <a href="{{var subscriber.getUnsubscriptionLink()}}">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Гост"
"ID","ID"
"Invalid queue selected.","Избрана е невалидна задача."
"Invalid subscription ID.","Невалиден идентификатор (ID) на абонамент."
"Invalid subscription confirmation code.","Невалиден код за потвърждение на абонамент."
"Message","Съобщение"
"Need to Confirm","Необходимо е потвърждение"
"New Newsletter Template","Нов шаблон за бюлетин"
"New Template","Нов шаблон"
"Newsletter","Бюлетин"
"Newsletter Message Preview","Преглед на съобщения за бюлетини"
"Newsletter Problem Reports","Справки за проблеми с бюлетини"
"Newsletter Queue","Задачи за бюлетини"
"Newsletter Section","Секция бюлетин"
"Newsletter Sign-up:","Записване за бюлетин:"
"Newsletter Styles","Newsletter Styles"
"Newsletter Subscribers","Абонати за бюлетин"
"Newsletter Subscription","Абонамент за информационен бюлетин"
"Newsletter Subscription Form Before","Newsletter Subscription Form Before"
"Newsletter Subscriptions","Абонаменти за бюлетин"
"Newsletter Templates","Шаблони за бюлетин"
"Newsletter subscription confirmation","Потвърждение на абонамент за бюлетин"
"Newsletter subscription success","Успешно абониране за бюлетин"
"Newsletter unsubscription success","Успешно анулиране на абонамент за бюлетин"
"No Templates Found","Не са намерени шаблони"
"No problems found.","Не са намерени проблеми."
"No subscribers selected.","Не са избрани абонати"
"Not Activated","Некативно"
"Not Sent","Неизпратено"
"Pause","Пауза"
"Paused","На пауза"
"Please enter a valid email address.","Моля въведете валиден имейл адрес."
"Please enter new template name","Моля въведете ново име на шаблон"
"Please refer to exeption.log","Please refer to exeption.log"
"Please select subscriber(s)","Моля изберете абонати"
"Preview","Преглед"
"Preview Template","Преглед на шаблон"
"Processed","Обработено"
"Queue Date Start","Начална дата на на задача"
"Queue Finish","Край на задача"
"Queue Information","Информация за задача"
"Queue Newsletter...","Задачи за бюлетин..."
"Queue Start","Стартиране на задача"
"Queue Subject","Заглавие на задача"
"Recipients","Получатели"
"Reset","Отмени"
"Resume","Поднови"
"Return HTML Version","Върни HTML версия"
"Save As","Запази като"
"Save Newsletter","Запиши бюлетин"
"Save Template","Запиши шаблон"
"Save and Resume","Запиши и поднови"
"Selected problem subscribers have been unsubscribed.","Абонаментите на избраните проблемни абонати бяха анулирани."
"Selected problems have been deleted.","Избраните проблеми бяха изтрити."
"Sender","Подател"
"Sender Email","Имейл на подател"
"Sender Name","Име на подател"
"Sending","Изпращане"
"Sent","Изпратено"
"Sign Up for Our Newsletter:","Абонирайте се за нашия бюлетин:"
"Sign up for our newsletter","Абонирайте се за нашия бюлетин"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Съжаляваме, но абониране на анонимни посетители не е позволено. Моля <a href=""%s"">регистрирайте се</a>."
"Start","Стартирай"
"Status","Статус"
"Store","Магазин"
"Store View","Изглед"
"Subject","Заглавие"
"Submit","Добави"
"Subscribe","Абониране"
"Subscribed","Абониран"
"Subscriber","Клиент"
"Subscribers","Клиенти"
"Subscribers From","Абонати от"
"Subscription Options","Опции за абонаменти"
"Success Email Sender","Подател на имейл за успешно абониране"
"Success Email Template","Шаблон на имейл за успешно абониране"
"Template Content","Съдържание на шаблона"
"Template Information","Информация за шаблон"
"Template Name","Име на шаблона"
"Template Styles","Шаблон стилове"
"Template Subject","Заглавие на шаблон"
"Template Type","Шаблон тип"
"Thank you for your subscription.","Благодарим за Вашия абонамент."
"The subscription has been removed.","Абонамента беше премахнат."
"The subscription has been saved.","Абонамента беше записан."
"There was a problem with the subscription.","Намерен е проблем с абонамента."
"There was a problem with the subscription: %s","Намерен е проблем с абонамента: %s"
"There was a problem with the un-subscription.","Намерен е проблем с анулирането на абонамента."
"This email address is already assigned to another user.","Този имейл адрес е вече е асоцииран към друг потребител."
"Type","Тип"
"Unconfirmed","Непотвърден"
"Unsubscribe","Анулирай абонамент"
"Unsubscribe Selected","Анулирай избраните"
"Unsubscribed","Анулирани абонаменти"
"Unsubscription Email Sender","Подател за анулиране на абонамент"
"Unsubscription Email Template","Шаблон за анулиране на абонамент"
"View Newsletter","Преглед на бюлетин"
"Website","Уебсайт"
"You have been unsubscribed.","Вашият абонамент беше анулиран."
"Your subscription has been confirmed.","Вашият абонамент беше потвърден."
