"%s Item(s)","%s обекта"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Магенто Демо Магазин. Всички права запазени."
"(Shift-)Click or drag to change value","(Shift-)Клик и издърпване за смяна на стойност"
"(ver. %s)","(вер. %s)"
"- Click on any of the time parts to increase it","- Клик върху която и да е част от времето за увеличаването и"
"- Hold mouse button on any of the above buttons for faster selection.","- Задръжте бутона на мишката върху който и да е от бутоните по-горе за бърз избор."
"- Use the %s buttons to select month","- Използвайте бутони %s за избор на месец"
"- Use the %s, %s buttons to select year","- Използвайте бутони %s, %s за избор на година"
"- or Shift-click to decrease it","- или Shift-клик за намаляването и"
"- or click and drag for faster selection.","- или клик и издърпване за бърз избор."
"-- Please Select --","-- Моля изберете --"
"1 column","1 колона"
"2 columns with left bar","2 колони с лява лента"
"2 columns with right bar","2 колони с дясна лента"
"3 columns","3 колони"
"About the calendar","За календара"
"All Empty Layout Pages","Всички страници с празно оформление"
"All One-Column Layout Pages","Всички страници с оформление една колона"
"All Pages","Всички страници"
"All Pages (Print Version)","Всички страници (версия за печат)"
"All Three-Column Layout Pages","Всички страници с оформление три колони"
"All Two-Column Layout Pages (Left Column)","Всички страници с оформление две колони (лява колона)"
"All Two-Column Layout Pages (Right Column)","Всички страници с оформление две колони (дясна колона)"
"Breadcrumbs","Breadcrumbs"
"Click <a href=""%s"">here</a> if nothing has happened","Кликни <a href=""%s"">тук</a> ако нищо не се случва"
"Close","Затвори"
"Close Window","Затвори прозореца"
"DHTML Date/Time Selector","Инструмент за избор на Дата/Време"
"Date selection:","Избор на дата:"
"Default Description","Описание по подразбиране"
"Default welcome msg!","Добре дошли по подразбиране!"
"Display %s first","Покажи първо %s"
"Distributed under GNU LGPL. See %s for details.","Разпространено под GNU LGPL. Вижте %s за повече информация."
"Drag to move","Издърпайте за преместване"
"Empty","Празно"
"For latest version visit: %s","За последна версия посетете: %s"
"Free Shipping on orders over 50$","Безплатна доставка за поръчки над 50$"
"Go Today","Отиди на днес"
"Help Us to Keep Magento Healthy","Погнете ни да поддържаме Magenot стабилно"
"Interface Language","Език за интерфейс"
"Items %s to %s of %s total","Обекти %s до %s от общо %s"
"JavaScript seem to be disabled in your browser.","Изглежда, че JavaScript е деактивиран във Вашия браузър."
"Left Column","Лява колона"
"Main Content Area","Главна област на съдържанието"
"Navigation Bar","Navigation Bar"
"Next","Следващ"
"Next month (hold for menu)","Следващ месец (задръжте за меню)"
"Next year (hold for menu)","Следваща година (задръжте за меню)"
"Page Bottom","Page Bottom"
"Page Footer","Завършващ блок на страница"
"Page Header","Заглавен блок на страница
Page:""
"Page Top","Page Top"
"Page:","Страница"
"Prev. month (hold for menu)","Пред. месец (задръжте за меню)"
"Prev. year (hold for menu)","Пред. година (задръжте за меню)"
"Previous","Предишен"
"Redirecting...","Пренасочване..."
"Report All Bugs","Докладване на проблеми"
"Right Column","Дясна колона"
"Select Store","Избери магазин"
"Select Store:","Избери магазин:"
"Select date","Избери дата"
"Show","Покажи"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Това е демонстрационен магазин. Всички поръчки направени през този магазин няма да бъдат разгледани или изпълнени."
"Time selection:","Избор на време:"
"Time:","Време:"
"Welcome, %s!","Здравей, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Трябва да активирате JavaScript във Вашия браузър за да можете да използвате пълната функционалност на този уебсайт."
"Your Language","Вашият език"
"Your Language:","Вашият език:"
"per page","на страница"
