"%s %s cycle.","%s %s cycle."
"--Please Select--","-- Моля изберете --"
"3D Secure Card Validation","3D Secure Card валидация"
"3D Secure Credit Card Validation","3D Валидация на кредитна карта"
"<label>Make Check payable to:</label> %s","<label>Направи Чек платим на:</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","A value is required for live mode. Refer to your CardinalCommerce agreement."
"Allow Initial Fee Failure","Позволи неизпълнение на инициална такса?!?"
"An internal reference ID is required to save the payment profile.","An internal reference ID is required to save the payment profile."
"Auto Bill on Next Cycle","Auto Bill on Next Cycle"
"Automatically Invoice All Items","Automatically Invoice All Items"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Автоматично плати неизплатена сума по баланса в следващия цикъл за плащане (ако е имало неосъществени плащания)."
"Billing Agreement status is not set.","Статус за споразумение за плащане не е зададен."
"Billing Amount","Сума на сметка"
"Billing Frequency","Честота на изплащане на сметки"
"Billing Period","Период на изплащане на сметки"
"Billing Period Unit","Единица за период на изплащане на сметки"
"Billing period unit is not defined or wrong.","Billing period unit is not defined or wrong."
"Cannot retrieve payment method instance.","Невъзможно е извличането на обект за метод на плащане."
"Cannot retrieve the payment info model object.","Невъзможно е извличането на модел за информация за плащане."
"Cannot retrieve the payment method model object.","Невъзможно е извличането на обект на модел за метод на плащане."
"Card Verification Number","Card Verification Number"
"Centinel API URL","Centinel API URL адрес"
"Check / Money Order","Чек / Платежно нареждане"
"Credit Card Number","Credit Card Number"
"Credit Card Number: xxxx-%s","Номер на кредитна карта: xxxx-%s"
"Credit Card Type","Credit Card Type"
"Credit Card Type: %s","Вид на кредитна карта: %s"
"Credit Card Types","Видове кредитна карта"
"Currency","Валута"
"Currency code is undefined.","Не е дефиниран код на валута."
"Customer ID is not set.","Не е зададен клиент ID."
"Day","Ден"
"Debug Mode","Дебъг режим"
"Enabled","Активиран"
"Expiration Date","Дата на изтичане"
"Expiration Date: %s/%s","Дата на изтичане: %s/%s"
"Full name of the person receiving the product or service paid for by the recurring payment.","Пълно име на лицето получател на продукта или услугата, платена с плащане по период."
"Initial Fee","Инициална такса"
"Initial non-recurring payment amount due immediately upon profile creation.","Инициална еднократна сума за плащане, дължима веднага след създаване на профил."
"Internal Reference ID","Вътрешен референтен ID"
"Issue Number","Issue Number"
"Make Check Payable to","Направи чек платим на"
"Make Check payable to:","Направи чек платим на:"
"Make Check payable to: %s","Направи чек платим на:"
"Maximum Billing Cycles","Максимални цикли за плащане на сметки"
"Maximum Order Total","Максимална обща сума на поръчката"
"Maximum Payment Failures","Максимални неосъществени плащания"
"Maximum Trial Billing Cycles","Максимални пробни цикли за изплащане"
"Merchant ID","Търговец ID"
"Minimum Order Total","Минимална обща сума на поръчката"
"Month","Месец"
"N/A","не е налично"
"Name on Card","Name on Card"
"Name on the Card","Име от картата"
"Name on the Card: %s","Име от картата: %s"
"New Order Status","Нов статус на поръчката"
"Number of billing periods that make up one billing cycle.","Брой периоди на изплащане, които формират един цикъл на разплащане."
"Overrides API URL that may be specified by a payment method.","Презаписва API URL адрес, който може да е определен от метода на плащане."
"Password","Парола"
"Payment ID: %s","ID на плащане: %s"
"Payment Method","Начин на плащане"
"Payment Methods","Payment Methods"
"Payment Methods Section","Секция методи на плащане"
"Payment Reference ID","Референтен ID на плащане"
"Payment Services","Услуги за плащане"
"Payment from Applicable Countries","Плащане от наличните държави"
"Payment from Specific Countries","Плащане от избрани държави"
"Payment method code is not set.","Не е зададен код за метод на плащане."
"Payment method code is undefined.","Не е дефиниран код за метод на плащане."
"Payment profile is invalid:\n%s","Невалиден профил на плащане:\n%s"
"Period frequency is wrong.","Period frequency is wrong."
"Processor ID","Id процесор за плащане"
"Purchase Order","Поръчка"
"Purchase Order Number","Purchase Order Number"
"Purchase Order Number:","Номер на поръчка:"
"Purchase Order Number: %s","Номер на поръчка: %s"
"Recurring Profile Start Date","Начална дата на профил за плащане по периоди"
"Recurring profile start date has invalid format.","Начална дата на профил за плащане по периоди е в невалиден формат."
"Reference ID is not set.","Не е зададен референтен ID."
"Repeats %s time(s).","Повторяемо %s път(и).""
"Repeats until suspended or canceled.","Повторяемо до прекратяване или отмяна."
"Request Card Security Code","Изискване на код за сигурност на карта"
"Saved CC","Записана CC"
"Schedule Description","Описание за разписание"
"Schedule description must be not empty.","Описание за разписание не може да е празно."
"Send Check to","Изпрати чек на"
"Send Check to:","Изпрати чек на:"
"Severe 3D Secure Card Validation","Стриктна 3D Secure Card валидация"
"Severe validation removes chargeback liability on merchant.","триктна валидация сваля отговорност за връщане от търговеца."
"Shipping Amount","Сума на доставка"
"Short description of the recurring payment. By default equals to the product name.","Кратко описание на плщане по периоди. По подразбиране се използва името на продукта."
"Sort Order","Начин на подреждане"
"Start Date","Start Date"
"Start date has invalid format.","Невалиден формат на начална дата."
"Start date is undefined.","Начална дата е недефинирана."
"Subscriber Name","Име на абонат"
"Switch/Solo/Maestro Issue Number","Switch/Solo/Maestro Issue Number"
"Switch/Solo/Maestro Only","Switch/Solo/Maestro Only"
"Switch/Solo/Maestro Start Date","Switch/Solo/Maestro Start Date"
"Tax Amount","Сума за данък"
"Test Mode","Тестов режим"
"The date when billing for the profile begins.","Дата, на която започва изплащане по профил."
"The number of billing cycles for payment period.","Броят на цикли на изплащане за период на плащане."
"The number of scheduled payments that can fail before the profile is automatically suspended.","Броят на провалени планирани плащания, след които профилът ще бъде автоматично прекратен."
"The payment review action is unavailable.","Не е на лице действие за преразглеждане на плащане."
"Title","Заглавие"
"Trial Billing Amount","Сума за пробно изплащане"
"Trial Billing Frequency","Честота за пробно изплащане"
"Trial Billing Period Unit","Единица за период на пробно изплащане"
"Trial Period","Пробен период"
"Trial billing amount is wrong.","Trial billing amount is wrong."
"Trial billing period unit is wrong.","Грешна единица за период на пробно изплащане."
"Trial period frequency is wrong.","Trial period frequency is wrong."
"Trial period max cycles is wrong.","Trial period max cycles is wrong."
"Two Weeks","Две седмици"
"Unable to save Billing Agreement:","Записването на споразумение за изплащане е невъзможно:"
"Unit for billing during the subscription period.","Единица за изплащане през периода на абонамента."
"Unsupported currency code: %s.","Неподдържан код за валута: %s."
"Week","Седмица"
"What is this?","Какво е това?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance."
"Wrong %s specified.","Определено е грешно %s."
"Wrong or empty billing amount specified.","Грешна или празна сума за изплащане."
"Year","Година"
"Zero Subtotal Checkout","Разплащане при нулева междинна сума"
