"Abandoned Carts","Изоставени колички"
"Abandoned carts","Изоставени колички"
"Action","Действие"
"Add to Cart","Купи"
"Add to Compare","Добави за сравнение"
"Add to Wishlist","Добави към списък с желания"
"Any","Всяко"
"Applied Coupon","Приложен талон"
"Applies to Any of the Specified Order Statuses","Прилага се за всеки от определените статуси на поръчка"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Сигурен ли сте че искате да обновите всички статистики? Възможно е да се получи намалено бързодействие на сайта по време на тази операция."
"Are you sure?","Сигурен ли сте?"
"Avg. Approved Rating","Оценка за средно одобрени"
"Avg. Rating","Средна оценка"
"Bestsellers","Най-продавани"
"Bought from wishlists","Купено от списък желания"
"CSV","CSV"
"Carts","Колички"
"Catalog Category (Without Subcategories)","Каталог категория (без под-категории)"
"Compared Products Grid Template","Шаблон за таблично показване на сравняване на продукти"
"Compared Products List Template","Шаблон за списък показване на сравняване на продукти"
"Coupons","Ваучери"
"Coupons Usage Report","Справка за употреба на талони за отстъпка"
"Created At","Създадено на"
"Current Month Starts","Започвания в текущия месец"
"Customer","Клиент"
"Customer Name","Име на клиента"
"Customer Tags","Ключови думи на клиент"
"Customers","Клиенти"
"Customers Report","Справки по клиенти"
"Customers Reviews","Мнения на клиенти"
"Customers Tags","Ключови думи на клиенти"
"Customers by Number of Orders","Клиенти по брой поръчки"
"Customers by Orders Total","Клиенти по суми на поръчки"
"Customers by number of orders","Клиенти по брой поръчки"
"Customers by orders total","Клиенти по суми на поръчки"
"Customers that have wishlist: %s%","Клиенти, които имат списък с желания: %s%"
"Dashboard","Табло"
"Day","Ден"
"Default Recently Compared Products Count","Брой по подразбиране на последно сравнявани продукти"
"Default Recently Viewed Products Count","Брой по подразбиране на последно разглеждани продукти"
"Description","Описание"
"Detail","Детайл"
"Downloads","Изтегляния"
"Email","Имейл"
"Empty Rows","Празни редове"
"Excel XML","Excel XML"
"Filter","Филтър"
"First Name","Име"
"From","От"
"Guest","Гост"
"Hits","Посещения"
"ID","ID"
"IP Address","IP адрес"
"Index model name must be defined","Трябва да е дефинирано име на модел за индекс"
"Invalid date specified.","Определена е невалидна дата."
"Invoiced","Фактурирани"
"Items in Cart","Продукти в количка"
"Last Name","Фамилия"
"Last Review","Последно мнение"
"Link","Връзка"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Списък с продукти последно сравнявани и премахнати от списък за сравнение по посетител"
"List of Products Recently Viewed by Visitor","Списък с продукти последно преглеждани по посетител"
"Low Stock","Ниска наличност"
"Low stock","Ниска наличност"
"Match Period To","За период"
"Month","Месец"
"Most Viewed","Най-преглеждани"
"Name","Име"
"New Accounts","Нови профили"
"No","Не"
"No records found for this period.","Не са намерени записи за този период."
"Number Added","Брой добавени"
"Number Fulfilled","Брой изпълнени"
"Number Of Reviews","Брой мнения"
"Number Purchased","Брой закупени"
"Number Viewed","Брой прегледи"
"Number of Items","Брой продукти"
"Number of New Accounts","Брой нови профили"
"Number of Products to display","Брой на продукти за показване"
"Number of Reviews","Брой на мнения""
"Number of Times Deleted","Брой изтривания"
"Number of Total Tags","Брой общо кл. думи"
"Number of Unique Tags","Брой уникални кл. думи"
"Number of Views","Брой преглеждания"
"Number of items bought from a wishlist: %s","Брой продукта купени от списък желания: %s"
"Number of times wishlists have been shared (emailed): %s","Колко пъти е споделян (по имейл) списък с желания: %s"
"Number of wishlist conversions: %s","Брой конверсии на списък желания: %s"
"Number of wishlist referrals: %s","Брой извиквания на списък желания: %s"
"Number of wishlists: %s","Брой списъка с желания: %s"
"Order Status","Статус"
"Order Taxes Report Grouped by Tax Rate","Справка за данъци на поръчки групирани по данъчна ставка"
"Orders","Поръчки"
"Out of stock","Не е в наличност"
"Period","Период"
"Poducts Report","Справка за продукти"
"Popular Tags","Популярна кл. дума"
"Popularity","Популярност"
"Price","Цена"
"Product Name","Име на продукт"
"Product Reviews","Мнения за продукт"
"Product SKU","Кат. №"
"Product Tags","Кл. думи за продукт"
"Products","Продукти"
"Products Ordered","Поръчани продукти"
"Products Report","Справка за продукти"
"Products Reviews","Мнения за продукти"
"Products Tags","Кл. думи на продукти"
"Products in carts","Продукти в колички"
"Purchases","Полупки"
"Quantity Ordered","Поръчано количество"
"Quantity of Items","Количество продукти"
"Recently Compared","Последно сравнявани"
"Recently Compared Products","Последно сравнени продукти"
"Recently Viewed","Последно разглеждани"
"Recently Viewed Products","Последно разглеждани"
"Recently Viewed/Compared Products","Последно разглеждани/сравнявани"
"Refresh Lifetime Statistics","Опресни всички статистики"
"Refresh Statistics","Опресни статистики"
"Refresh Statistics for the Last Day","Опресни статистики за последния ден"
"Refunds","Сторнирани"
"Report","Справка"
"Reports","Справки"
"Results","Резултати"
"Revenue","Приход"
"Review","Мнение"
"Reviews","Мнения"
"Reviews for %s","Мнениея за %s"
"Sales","Продажби"
"Sales Report","Справки продажби"
"Search Query","Заявка за търсене"
"Search Terms","Критерии за търсене"
"Select day of the month.","Изберете ден от месеца."
"Shipping","Доставка"
"Shopping Cart","Количка"
"Show Actual Values","Покажи действителни стойности"
"Show Report","Покажи справка"
"Show for Current","Покажи за текущ"
"Specified","Избрано"
"Statistics","Статистики"
"Stock Qty","Кол. в наличност"
"Submitted In","Публикувано в"
"Submitted On","Публикуване на"
"Subtotal","Междинна сума"
"Tag","Ключова дума"
"Tag ""%s"" details","Инфо за кл. дума ""%s"""
"Tag Detail","Информация за кл. дума"
"Tag Name","Ключова дума"
"Tag Use","Употреба на кл. дума"
"Tags Submitted by %s","Кл. думи публикувани от %s"
"Tags submitted to %s","Кл. думи публикувани за %s"
"Tax","Данък"
"Title","Заглавие"
"To","До"
"Total","Общо"
"Total Invoiced vs. Paid Report","Справка общо фактурирани срещу платени"
"Total Ordered Report","Справка общо поръчано"
"Total Refunded Report","Справка общо върнато по сторно"
"Total Shipped Report","Справка общо доставено"
"Total Tags","Общо кл. думи"
"Total invoiced","Общо фактурирани"
"Total refunded","Общо върнати пари"
"Updated At","Обновено в"
"Viewed Products Grid Template","Шаблон за табличен изглед на преглеждани продукти"
"Viewed Products List Template","Шаблон за списък изглед на преглеждани продукти"
"Visible In","Видимо в"
"Wishlist Report","Справка списък желания"
"Wishlist vs. Regular Order","Списък желания срещу нормална поръчка"
"Wishlists","Списък желания"
"Year","Година"
"Year-To-Date Starts","Започвания година-към-дата"
"Yes","Да"
"Your Recently Compared","Вашите последно сравнявани"
"Your Recently Viewed","Вашите последно преглеждани"
"undefined","недефиниран"
