"""%s"" coupon code is not valid.","""%s"" е невалиден код на талон."
"%s","%s"
"%s / %s rate:","%s / %s rate:"
"%s for %s","%s for %s"
"%s order(s) cannot be canceled","%s order(s) cannot be canceled"
"%s order(s) have been canceled.","%s поръчка/поръчки бяха отменени."
"%s order(s) have been put on hold.","%s поръчка/поръчки бяха направени в изчакване."
"%s order(s) have been released from holding status.","%s поръчка/поръчки бяха освободени от статус в изчакване."
"%s order(s) were not put on hold.","%s поръчка/поръчки не бяха направени в изчакване."
"%s order(s) were not released from holding status.","%s поръчка/поръчки не бяха освободени от статус в изчакване."
"* - Enter custom price excluding tax","* - Въведете друга цена без данък"
"* - Enter custom price including tax","* - Въведете друга цена с включен данък"
"-- Please Select --","-- Моля изберете --"
"-- Please Select Billing Agreement--","-- Моля изберете споразумение за плащане --"
"About This Order:","За тази поръчка:"
"About This Profile:","За този профил:"
"About Your Invoice","About Your Invoice"
"About Your Order","За Вашата поръчка"
"About Your Refund","About Your Refund"
"About Your Shipment","About Your Shipment"
"Accept Payment","Одобри плащане"
"Accept or Deny Payment","Accept or Deny Payment"
"Account Information","Информация за профил"
"Action","Действие"
"Actions","Действия"
"Activate","Активирай"
"Active","Активно"
"Add","Добави"
"Add New Address","Добави нов адрес"
"Add Order Comments","Добави коментар към поръчка"
"Add Package","Add Package"
"Add Products","Добави продукти"
"Add Selected Product(s) to Option","Добави избрания продукт(и) към опция"
"Add Selected Product(s) to Order","Добави избрания продукт(и) към поръчката"
"Add Selected Product(s) to Package","Add Selected Product(s) to Package"
"Add To Order","Добави към поръчката"
"Add Tracking Number","Добави номер за проследяване"
"Add comment to order","Добави коментар към поръчката"
"Add new comment to credit memo","Add new comment to credit memo"
"Add new comment to shipment","Добави коментар към доставката"
"Add new tracking number","Добави нов проследяващ номер"
"Add to Cart","Купи"
"Additional Product Info","Допълнителна информация за продукт"
"Address","Адрес"
"Address model is not defined.","Не е дефиниран модел на адрес."
"Adjustment Fee","Такса за настройване"
