"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled."
"Actions","Действия"
"Active","Активно"
"Add New Rule","Добави ново правило"
"Apply","Приложи"
"Apply To","Приложи към"
"Apply the rule only if the following conditions are met (leave blank for all products)","Apply the rule only if the following conditions are met (leave blank for all products)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Приложи правилото само за съвпадения на следните условия за артикули от количката (оставете празно за всички продукти)"
"Apply the rule to cart items matching the following conditions","Приложи правилото за съвпадения на следните условия за артикули от количката"
"Apply to Shipping Amount","Приложи към суми за доставка"
"Auto","Автоматично"
"Buy X get Y free (discount amount is Y)","Купи X получи Y безплатно (сумата за отстъпка е Y)"
"By Fixed value","По фиксирана стойност"
"By Percentage","По процент"
"Can\'t acquire coupon.","Can\'t acquire coupon."
"Cart Attribute","Атрибути на количка"
"Catalog","Каталог"
"Conditions","Условия"
"Conditions combination","Комбинация от условия"
"Coupon","Талон"
"Coupon Code","Код от талон"
"Customer Groups","Клиентски групи"
"Customer is new buyer: %s","Customer is new buyer: %s"
"Customer registered: %s","Клиента е регистриран: %s"
"Date Expire","Дата на изтичане"
"Date Start","Начална дата"
"Default Label","Надпис по подразбиране"
"Default Rule Label for All Store Views","Надпис на правило по подразбиране за всички изгледи на магазини"
"Delete Rule","Иззтрий правило"
"Description","Описание"
"Description: %s","Описание: %s"
"Discount Amount","Сума на отстъпка"
"Discount Qty Step (Buy X)","Стъпка за отстъпка по количество (Купи X)"
"Edit Rule","Редактирай правило"
"Edit Rule '%s'","Редакция на правило '%s'"
"Expire at: %s","Изтича в: %s"
"FOUND","FOUND"
"Fixed amount discount","фиксирана сума за отстъпка"
"Fixed amount discount for whole cart","фиксирана сума за отстъпка за цялата количка"
"For matching items only","Само за продукти, които съвпадат"
"For shipment with matching items","За доставка на продукти, които съвпада"
"Free Shipping","Безплатна доставка"
"From Date","От дата"
"General Information","Основна информация"
"ID","ID"
"Inactive","Неактивно"
"Item totals are not set for rule.","Item totals are not set for rule."
"Labels","Надписи"
"Maximum Qty Discount is Applied To","Отстъпка за максимално количество е приложено към"
"NOT FOUND","NOT FOUND"
"NOT LOGGED IN","БЕЗ ВХОД В СИСТЕМАТА"
"Name: %s","Име: %s"
"New Rule","Ново правило"
"No","Не"
"No Coupon","Без талон"
"Number of Uses","Брой използвания"
"Payment Method","Начин на плащане"
"Percent of product price discount","Отстъпка процент от цена на продукт"
"Period","Период"
"Price in cart","Цена в количка"
"Priority","Приоритет"
"Product attribute combination","Комбинация от атрибути на продукт"
"Products subselection","Подселекция от продукти"
"Promotions","Промоции"
"Public In RSS Feed","Публично в RSS бюлетин"
"Quantity in cart","Количество в количка"
"Row total in cart","Сума на ред от количката"
"Rule Information","Информация за правило"
"Rule Name","Име на правило"
"Sales Discount Amount","Сума на отстъпка за продажби"
"Sales Subtotal Amount","Междинна сума на продажби"
"Sales Total Amount","Обща сума на продажби"
"Save Rule","Запиши правило"
"Save and Continue Edit","Запиши и продължи с редакция"
"Shipping Country","Държава за доставка"
"Shipping Method","Начин на доставка"
"Shipping Postcode","Пощ. код за доставка"
"Shipping Region","Регион за доставка"
"Shipping State/Province","Област/Щат за доставка"
"Shopping Cart Price Rule","Правило за цена в количка"
"Shopping Cart Price Rules","Правила за цена в количка"
"Special Price","Специална цена"
"Specific Coupon","Специфичен талон"
"Start at: %s","Започва в: %s"
"Status","Статус"
"Stop Further Rules Processing","Спри обработката на други правила"
"Store View Specific Labels","Специфични надписи за изглед на магазин"
"Subtotal","Междинна сума"
"Subtotal Amount","Междинна сума"
"The rule has been deleted.","Правилото беше изтрито."
"The rule has been saved.","Правилото беше записано."
"This rule no longer exists.","Това правило вече не съществува."
"To Date","Към дата"
"To Fixed Value","Към фиксирана стойност"
"To Percentage","Към процент"
"Total","Общо"
"Total Amount","Обща сума"
"Total Items Quantity","Общо количество продукти"
"Total Weight","Общо тегло"
"Unable to find a rule to delete.","Невъзможно е намиране на правило, което да бъде изтрито."
"Update prices using the following information","Актуализрай цени, използвайки следната информация"
"Update product's %s %s: %s","Обнови %s %s на продукти: %s"
"Update the Product","Обнови продукта"
"Uses per Coupon","Използвания за талон"
"Uses per Customer","Използвания за клиент"
"Wrong rule specified.","Определено е грешно правило."
"Yes","Да"
