"%s","%s"
"-- Please Select --","-- Моля изберете --"
"Actions","Действия"
"Add Layout Update","Добави обновяване на оформление"
"Add New Widget Instance","Add New Widget Instance"
"All","Всичко"
"All Pages","Всички страници"
"All Product Types","Всички типове продукти"
"Anchor Categories","Категории с филтър навигация"
"Assign to Store Views","Присъедини към изгледи на магазини"
"Big Image","Голямо изображение"
"Block Reference","Референциа на блок"
"CMS","CMS"
"Categories","Категории"
"Choose...","Изберете..."
"Close","Затвори"
"Continue","Продължи"
"Default Template","Шаблон по подразбиране"
"Delete","Изтрий"
"Design Package/Theme","Дизайн на пакет/тема"
"Export to:","Експортирай в:"
"Frontend Properties","Свойства на публичен сайт"
"Generic Pages","Общи страници"
"Images","Images"
"Insert Widget","Вмъкни графичен обект"
"Layout Updates","Обновявания на оформление"
"Manage Widget Instances","Управление на копия на Графични обекти"
"New Instance","Ново копие"
"New Widget Instance","Нов копие на Графичен обект"
"Next page","Следваща страница"
"Non-Anchor Categories","Категории без филтър навигация"
"Not Selected","Не е избрано"
"Page","Страница"
"Please Select Block Reference First","Моля изберете първо референция на блок"
"Previous page","Предишна страница"
"Products","Продукти"
"Remove Layout Update","Премахни обновяване на оформление"
"Save and Continue Edit","Запиши и продължи с редакция"
"Select All","Select All"
"Select Visible","Избери видимо"
"Settings","Настройки"
"Sort Order","Начин на подреждане"
"Sort Order of widget instances in the same block reference","Начин на подреждане на копия на графични обекти в една и съща референция на блок"
"Specific %s","Определени %s"
"Specified Page","Избрана страница"
"Template","Шаблон"
"The information in this tab has been changed.","Информацията в този изглед е променена."
"The widget instance has been deleted.","Копието на графичен обект беше изтрито."
"The widget instance has been saved.","Копието на графичен обект беше записано."
"This tab contains invalid data. Please solve the problem before saving.","Този изглед съдържа невалидни данни. Моля разрешете проблема преди записване."
"Thumbnail","Изображение за преглед"
"Total %d records found","Намерени са общо %d записа"
"Type","Тип"
"Undefined Design Package or Theme.","Undefined Design Package or Theme."
"Unselect All","Размаркирай всичко"
"Unselect Visible","Размаркирай видимо"
"View","Преглед"
"Widget","Графичен обект"
"Widget ""%s""","Графичен обект ""%s"""
"Widget ID","Графичен обект ID"
"Widget Instance","Копие на графичен обект"
"Widget Instance Title","Заглавие на копие на графичен обект"
"Widget Options","Опции на Графичен обект"
"Widget Type","Тип на Графичен обект"
"Widget Type is not specified","Не е определен тип на Графичен обект"
"Widget instance is not full complete to create.","Копие на графичен обект не е напълно завършено за създаване."
"Widgets","Графични обекти"
"Wrong widget instance specified.","Wrong widget instance specified."
"items selected","избрани обекта"
"of %s pages","от %s страници"
"per page","на страница"
