9/25/14 11:28 AM
Project Statistics

                 	Segments	Words	Characters (without spaces)	Characters (including spaces)	#Files	
Total:           	    9510	38604	                     207356	                       235923	    64	
Remaining:       	    9042	37377	                     200890	                       228700	    61	
Unique:          	    7490	33641	                     181155	                       206837	    64	
Unique Remaining:	    7267	32778	                     176656	                       201708	    61	


Individual File Statistics:

File Name                 	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (without spaces)	Remaining Characters (without spaces)	Unique Characters (without spaces)	Unique Remaining Characters (without spaces)	Total Characters (including spaces)	Remaining Characters (including spaces)	Unique Characters (including spaces)	Unique Remaining Characters (including spaces)	
Mage_PaypalUk.csv         	             2	                 2	              2	                        2	         12	             12	          12	                    12	                               80	                                   80	                                80	                                          80	                                 90	                                     90	                                  90	                                            90	
Mage_GoogleAnalytics.csv  	             4	                 0	              4	                        0	          7	              0	           7	                     0	                               43	                                    0	                                43	                                           0	                                 46	                                      0	                                  46	                                             0	
Mage_Media.csv            	             4	                 0	              4	                        0	         30	              0	          30	                     0	                              144	                                    0	                               144	                                           0	                                167	                                      0	                                 167	                                             0	
Mage_Log.csv              	             9	                 4	              9	                        4	         23	             11	          23	                    11	                              129	                                   58	                               129	                                          58	                                143	                                     65	                                 143	                                            65	
Mage_CurrencySymbol.csv   	            10	                 5	             10	                        5	         23	             15	          23	                    15	                              146	                                   95	                               146	                                          95	                                159	                                    105	                                 159	                                           105	
Mage_PageCache.csv        	            11	                10	             11	                       10	         57	             50	          57	                    50	                              307	                                  276	                               307	                                         276	                                353	                                    316	                                 353	                                           316	
Mage_Cron.csv             	            17	                12	             17	                       12	         83	             57	          83	                    57	                              462	                                  321	                               462	                                         321	                                526	                                    363	                                 526	                                           363	
Mage_Api.csv              	            18	                 8	             18	                        8	         55	             27	          55	                    27	                              340	                                  178	                               340	                                         178	                                377	                                    197	                                 377	                                           197	
Mage_Compiler.csv         	            21	                 4	             19	                        4	         52	             16	          50	                    16	                              340	                                   97	                               328	                                          97	                                371	                                    109	                                 359	                                           109	
Mage_Contacts.csv         	            21	                 0	             20	                        0	         58	              0	          57	                     0	                              313	                                    0	                               308	                                           0	                                351	                                      0	                                 346	                                             0	
Mage_Weee.csv             	            22	                19	             22	                       19	         73	             70	          73	                    70	                              377	                                  366	                               377	                                         366	                                428	                                    417	                                 428	                                           417	
Mage_Captcha.csv          	            24	                11	             24	                       11	        135	             59	         135	                    59	                              723	                                  329	                               723	                                         329	                                829	                                    375	                                 829	                                           375	
Mage_Rating.csv           	            29	                 4	             29	                        4	         87	              7	          87	                     7	                              412	                                   36	                               412	                                          36	                                470	                                     39	                                 470	                                            39	
Mage_Rule.csv             	            29	                 3	             29	                        3	         81	              7	          81	                     7	                              383	                                   37	                               383	                                          37	                                435	                                     41	                                 435	                                            41	
Mage_AdminNotification.csv	            32	                 1	             31	                        1	        109	              3	         108	                     3	                              554	                                   16	                               548	                                          16	                                629	                                     18	                                 623	                                            18	
Mage_Dataflow.csv         	            32	                 6	             32	                        6	        153	             36	         153	                    36	                              777	                                  183	                               777	                                         183	                                894	                                    213	                                 894	                                           213	
Mage_ProductAlert.csv     	            35	                12	             30	                       12	        195	             53	         183	                    53	                             1034	                                  303	                               963	                                         303	                               1194	                                    344	                                1116	                                           344	
Mage_Centinel.csv         	            36	                21	             34	                       21	        153	             78	         147	                    78	                              913	                                  477	                               881	                                         477	                               1029	                                    533	                                 993	                                           533	
Mage_GiftMessage.csv      	            38	                35	             35	                       35	        196	            191	         191	                   191	                              846	                                  825	                               825	                                         825	                               1004	                                    981	                                 981	                                           981	
Mage_Sendfriend.csv       	            38	                36	             36	                       36	        159	            157	         157	                   157	                              778	                                  767	                               767	                                         767	                                899	                                    888	                                 888	                                           888	
Mage_Poll.csv             	            42	                40	             39	                       39	        116	            113	         112	                   112	                              560	                                  544	                               542	                                         542	                                634	                                    617	                                 615	                                           615	
Phoenix_Moneybookers.csv  	            42	                40	             40	                       40	        204	            201	         201	                   201	                             1368	                                 1352	                              1352	                                        1352	                               1548	                                   1531	                                1531	                                          1531	
Mage_Authorizenet.csv     	            45	                43	             38	                       38	        148	            145	         131	                   131	                              858	                                  842	                               740	                                         740	                                960	                                    943	                                 832	                                           832	
Mage_Directory.csv        	            47	                41	             41	                       41	        157	            144	         144	                   144	                              950	                                  872	                               872	                                         872	                               1060	                                    975	                                 975	                                           975	
Mage_Index.csv            	            48	                45	             41	                       41	        169	            166	         162	                   162	                              895	                                  876	                               859	                                         859	                               1007	                                    988	                                 971	                                           971	
Mage_Sitemap.csv          	            48	                38	             35	                       35	        171	            154	         151	                   151	                              904	                                  802	                               789	                                         789	                               1027	                                    918	                                 905	                                           905	
Mage_Backup.csv           	            52	                49	             47	                       47	        285	            281	         274	                   274	                             1516	                                 1494	                              1458	                                        1458	                               1747	                                   1724	                                1683	                                          1683	
Mage_CatalogSearch.csv    	            52	                52	             50	                       50	        210	            210	         208	                   208	                             1095	                                 1095	                              1090	                                        1090	                               1245	                                   1245	                                1240	                                          1240	
Mage_Rss.csv              	            57	                56	             54	                       54	        171	            170	         167	                   167	                              859	                                  856	                               837	                                         837	                                962	                                    959	                                 939	                                           939	
Mage_Bundle.csv           	            58	                55	             48	                       48	        149	            145	         137	                   137	                              784	                                  763	                               725	                                         725	                                873	                                    850	                                 811	                                           811	
Mage_CatalogInventory.csv 	            58	                58	             57	                       57	        310	            310	         303	                   303	                             1553	                                 1553	                              1523	                                        1523	                               1803	                                   1803	                                1767	                                          1767	
Mage_Connect.csv          	            58	                54	             50	                       50	        129	            125	         121	                   121	                              722	                                  701	                               676	                                         676	                                793	                                    772	                                 747	                                           747	
Mage_CatalogRule.csv      	            63	                60	             52	                       52	        211	            207	         193	                   193	                             1085	                                 1052	                               983	                                         983	                               1233	                                   1199	                                1124	                                          1124	
Mage_Persistent.csv       	            64	                61	             56	                       56	        240	            236	         229	                   229	                             1307	                                 1277	                              1235	                                        1235	                               1480	                                   1448	                                1405	                                          1405	
Mage_ImportExport.csv     	            66	                66	             63	                       63	        318	            318	         310	                   310	                             1775	                                 1775	                              1730	                                        1730	                               2028	                                   2028	                                1978	                                          1978	
Mage_Widget.csv           	            75	                72	             63	                       63	        189	            185	         171	                   171	                             1066	                                 1045	                               971	                                         971	                               1181	                                   1159	                                1078	                                          1078	
Mage_Paygate.csv          	            80	                78	             58	                       58	        429	            426	         371	                   371	                             2362	                                 2346	                              2019	                                        2019	                               2707	                                   2690	                                2328	                                          2328	
