" The customer does not exist in the system anymore."," Клиентът вече не съществува в системата."
" [deleted]","  [изтрит]"
" and ","  и  "
" note that the URLs provided below are the correct values for your current website): "," сnote that the URLs provided below are the correct values for your current website): "
"%s (Default Template from Locale)","%s (Шаблон по подразбиране от локализацията)"
"%s cache type(s) disabled.","кеш тип %s е деактивиран."
"%s cache type(s) enabled.","кеш тип %s е активиран."
"%s cache type(s) refreshed.","кеш тип %s е обновен."
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(За US 2-буквени имена на щатите)"
"(If left empty will be auto-generated)","(Aко полето е оставено празно ще бъде автоматично генерирано)"
"(Leave empty for first spreadsheet)","(Празно за първа електронна таблица)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Продуктите ще бъдат добавени/обновени към този магазин ако колона 'магазин' е празна или липсва във файла за импорт.)"
"(Shift-)Click or drag to change value","(Shift-)Клик и издърпване за смяна на стойност"
"(Starting with)","(Започва с)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Когато е 'Не', само свързаните(mapped) полетата ще бъдат импортирани. Когато свързвате, използвайте 'колона1', 'колона2' и т.н.)"
"(You have to increase php memory_limit before changing this value)","(Трябва да увеличите PHP memory_limit преди да промените тази стойност)"
"(\\t for tab)","(\\t за табулация)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Ако се извършва текущо индексиране, то ще бъде прекъснато и ще бъде започнат нов индексиращ процес."
"- Click on any of the time parts to increase it","- Клик върху която и да е част от времето за увеличаването и"
"- Hold mouse button on any of the above buttons for faster selection.","- Задръжте бутона на мишката върху който и да е от бутоните по-горе за бърз избор."
"- Use the %s buttons to select month","- Използвайте бутони %s за избор на месец"
"- Use the %s, %s buttons to select year","- Използвайте бутони %s, %s за избор на година"
"- or Shift-click to decrease it","- или Shift-клик за намаляването и"
"- or click and drag for faster selection.","- или клик и издърпване за бърз избор."
"-- Not Selected --","-- Не е избрано --"
"-- Please Select --","-- Моля изберете --"
"-- Please Select Billing Agreement--","-- Моля изберете споразумение за плащане --"
"-- Please Select a Category --","-- Моля изберете категория --"
"-- Please select --","-- Моля изберете --"
"--Please Select--","-- Моля изберете --"
"1 Hour","1 час"
"12 Hours","12 часа"
"12h AM/PM","12ч AM/PM"
"2 Hours","2 часа"
"24 Hours","24 часа"
"24h","24ч"
"2YTD","2YTD"
"6 Hours","6 часа"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class="page-heading">Грешка 404</h1><p>Страницата не е намерена.</p>"
"A user with the same user name or email aleady exists.","Потребител със същото потребителско име или имейл вече съществува."
"API Key","API Ключ"
"API Key Confirmation","Потвърждаване на API Ключ"
"ASCII","ASCII"
"Abandoned Carts","Изоставени колички"
"About the calendar","За календара"
"Access Denied","Забранен достъп"
"Access denied","Забранен достъп"
"Access denied.","Забранен достъп."
"Account Created in:","Профилът е създаден в:"
"Account Created on (%s):","Профилът е създаден на (%s):"
"Account Created on:","Профилът е създаден на:"
"Account Information","Информация за профил"
"Account Status","Статус на профила"
"Account status","Статус на профила"
"Action","Действие"
"Actions","Действия"
"Actions XML","XML Действия"
"Active","Активно"
"Add","Добави"
"Add Exception","Добави изключение"
"Add Field Mapping","Добави присъединяване на поле"
"Add Field with URL:","Добавяне на поле с URL:"
"Add New","Добави нов"
"Add New Image","Добави нова картинка"
"Add New Profile","Добави нов профил"
"Add New Role","Добавяне на нова Роля"
"Add New Template","Добавяне на нов шаблон"
"Add New URL Rewrite","Добави ново URL презаписване"
"Add New User","Добавяне на нов Потребител"
"Add New Variable","Добави нова променлива"
"Add URL Rewrite","Добави URL Презаписване"
"Add URL Rewrite for a Category","Добави URL Презаписване за категория"
"Add URL Rewrite for a Product","Добави URL Презаписване за продукт"
"Add after","Добави след"
"Additional Cache Management","Допълнително управление на Кеш"
"Address Type:","Вид адрес:"
"Admin","Админ"
"Advanced Admin Section","Разширена Админ секция"
"Advanced Profiles","Разширени профили"
"Advanced Section","Разширена секция"
"All","Всичко"
"All Allowed Countries","Всички разрешени държави"
"All Cache","Всичко то Кеш"
"All Files","Всички файлове"
"All Reviews","Всички мнения"
"All Store Views","Всички изгледи за магазин"
"All Tags","Всички кл. думи"
"All Websites","Всички уебсайтове"
"All countries","Всички държави"
"All fields","Всички полета"
"All possible rates were fetched, please click on ""Save"" to apply","Всички възможни оценки са обработени, натиснете "Запази" за да ги приложите"
"All rates were fetched, please click on ""Save"" to apply","Всички оценки са обработени, натиснете "Запази" за да ги приложите"
"All valid rates have been saved.","Всички валидни оценки са обработени"
"Amounts","Суми"
"An error has occured while syncronizing media storages.","An error has occured while syncronizing media storages."
"An error occurred while clearing the JavaScript/CSS cache.","Грешка при изчистването на JavaScript/CSS кеша."
"An error occurred while clearing the image cache.","Грешка при изчистването на кеша за картинки."
"An error occurred while creating the backup.","Грешка при създаването на backup."
"An error occurred while deleting URL Rewrite.","An error occurred while deleting URL Rewrite."
"An error occurred while deleting email template data. Please review log and try again.","Грешка при изтриването на имейл шаблони. Моля прегледайте лог файловете и опитайте отново."
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"An error occurred while deleting this role.","Грешка при изтриването на тази роля."
"An error occurred while deleting this set.","Грешка при изтриването на тази група."
"An error occurred while deleting this template.","Грешка при изтриването на този шаблон."
"An error occurred while finishing process. Please refresh the cache","Грешка при завършването на процеса. Моля актуализирайте кеша"
"An error occurred while rebuilding the CatalogInventory Stock Status.","Грешка при създаването отново на инвентарен статус CatalogInventory."
"An error occurred while rebuilding the catalog index.","Грешка при създаването отново на каталог индекса."
"An error occurred while rebuilding the flat catalog category.","Грешка при създаването отново на опростен каталог на категории."
"An error occurred while rebuilding the flat product catalog.","Грешка при създаването отново на опростен  каталог на продукти."
"An error occurred while rebuilding the search index.","Грешка при създаването отново на индекса за търсене."
"An error occurred while refreshing the Catalog Rewrites.","Грешка при обновяването на Каталог Презаписите."
"An error occurred while refreshing the Layered Navigation indices.","Грешка при обновяването на индексите на Филтър Навигацията."
"An error occurred while refreshing the catalog rewrites.","Грешка при обновяването на каталог крезаписите."
"An error occurred while refreshing the layered navigation indices.","Грешка при обновяването на индексите на Филтър Навигацията."
"An error occurred while saving URL Rewrite.","An error occurred while saving URL Rewrite."
"An error occurred while saving account.","Грешка при записването на профил."
"An error occurred while saving review.","An error occurred while saving review."
"An error occurred while saving the customer.","An error occurred while saving the customer."
"An error occurred while saving this configuration:","Грешка при записването на тази конфигурация:"
"An error occurred while saving this role.","Грешка при записването на тази роля."
"An error occurred while saving this template.","Грешка при записването на този шаблон."
"An error occurred while updating the selected review(s).","Грешка при обновяването на избраните мнения."
"Any","Всяко"
"Any Attribute Set","Всяка група атрибути"
"Any Group","Всяка група"
"Any Status","Всеки статус"
"Any Store","Всеки магазин"
"Any Type","всеки тип"
"Any Visibility","Всяка видимост"
"Archive file name:","Име на архива:"
"Are you sure that you want to delete this template?","Сигурен ли сте, че искате да изтриете този шаблон?"
"Are you sure that you want to strip tags?","Сигурни ли сте, че искате да скъсите(изрежете) таговете?"
"Are you sure you want to do this?","Сигурен ли сте, че искате да направите това?"
"Area","Област"
"As low as:","Най-ниска цена:"
"Assigned","Присъединено"
"Associated Tags","Асоциирани ключови думи"
"Attribute Set Name:","Име на Атрибут група:"
"Attributes","Атрибути"
"Automatic","Automatic"
"Average Order Amount","Средна сума на доставките"
"Average Orders","Средно доставки"
"BINARY","BINARY"
"Back","Обратно"
"Back to Login","Назад към Вход"
"Backup","Системен архив"
"Backup record was deleted.","Записа на системен архив е изтрит."
"Backups","Архиви"
"Base currency","Базова валута"
"Bcc","Bcc"
"Bestsellers","Най-продавани"
"Billing Address","Адрес за плащане"
"Billing Address: ","Адрес за плащане: "
"Billing Agreement","Споразумение за плащане"
"Billing Agreements","Споразумения за плащане"
"Block Information","Информация за блок"
"Both (without and with tax)","И двете (с и без такса)"
"Both IPN and PDT","И двете IPN и PDT"
"Browse Files...","Разлисти файлове...""
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Пакет с динамично ценообразуване не може да включва дефинирани от потребителя опции. Опциите няма да бъдат запазени."
"CMS","CMS"
"CRITICAL","КРИТИЧНО"
"CSV","CSV"
"CSV / Tab separated","CSV / разделени с табулация"
"Cache Control","Кеш контрол"
"Cache Control (beta)","Кеш контрол (бета)"
"Cache Management","Cache Management"
"Cache Type","Тип кеш"
"Cancel","Отказ"
"Cannot add new comment.","Невъзможно е добавянето на нов коментар."
"Cannot add tracking number.","Невъзможно е добавянето на номер за проследяване."
"Cannot create an invoice without products.","Невъзможно е създаването на фактура без продукти."
"Cannot create credit memo for the order.","Невъзможно е създаването на кредитно известие за поръчката."
"Cannot delete the design change.","Невъзможно е изтриването на промяната в дизайна."
"Cannot delete tracking number.","Невъзможно е изтриването на номер за проследяване."
"Cannot do shipment for the order separately from invoice.","Невъзможно е да се направи доставка за поръчка отделно от фактура."
"Cannot do shipment for the order.","Невъзможно е да се направи доставка за поръчката."
"Cannot initialize shipment for adding tracking number.","Невъзможно е инициализирането на доставка за добавяне на номер за проследяване."
"Cannot initialize shipment for delete tracking number.","Невъзможно е инициализирането на доставка за изтриване на номер за проследяване."
"Cannot load track with retrieving identifier.","Невъзможно е зареждането на проследяване с извличане на идентификатор."
"Cannot retrieve tracking number detail.","Невъзможно е извличането на детайл за проследяващ номер."
"Cannot save a new password.","Новата парола не може да бъде съхранена."
"Cannot save shipment.","Невъзможно е записването на доставка."
"Cannot save the credit memo.","Cannot save the credit memo."
"Cannot send shipment information.","Невъзможно е изпращането на информация за доставка."
"Cannot update item quantity.","Невъзможно е актуализирането на количеството за продукт."
"Cannot update the item\'s quantity.","Невъзможно е актуализирането на количеството на продукта."
"Card Verification Number","Card Verification Number"
"Catalog","Каталог"
"Catalog Price Rules","Правила за Каталожна цена"
"Catalog Rewrites","Презаписани URL на каталога"
"Categories","Категории"
"Category:","Категория:"
"Chart is disabled. If you want to enable chart, click <a href=""%s"">here</a>.","Chart is disabled. If you want to enable chart, click <a href=""%s"">here</a>."
"Checkbox","Отметка"
"Child Transactions","Под-транзакции"
"Choose Store View","Избор на изглед за магазин"
"Choose an attribute","Избери атрибут"
"Chosen category does not associated with any website, so url rewrite is not possible.","Chosen category does not associated with any website, so url rewrite is not possible."
"Chosen product does not associated with any website, so url rewrite is not possible.","Chosen product does not associated with any website, so url rewrite is not possible."
"Clear","Изчисти"
"Close","Затвори"
"Comment text field cannot be empty.","Полето за коментар не може да е празно."
"Complete","Приключено"
"Configuration","Конфигурация"
"Confirm New Password","Потвърди новата парола"
"Confirmed email:","Потвърден имейл:"
"Connect with the Magento Community","Свързване с Magento Общността"
"Continue","Продължи"
"Convert to Plain Text","Конвертирай в чист текст"
"Cookie (unsafe)","Cookie (ниска сигурност)"
"Country","Държава"
"Country:","Държава:"
"Coupons","Ваучери"
"Create","Създай"
"Create DB Backup","Създай архивно копие на БД"
"Create New Attribute","Създай нов атрибут"
"Create URL Rewrite:","Създай URL презаписване:"
"Created At","Създадено на"
