"Access denied.","Забранен достъп."
"Client Session Timeout (sec.)","Изтичане на клиентска сесия (сек.)"
"Default Response Charset","Default Response Charset"
"Email","Имейл"
"General Settings","Основни настройки"
"Invalid webservice adapter specified.","Определен е невалиден адаптер за уеб услуга."
"Invalid webservice handler specified.","Определено е невалидно управление за уеб услуга."
"Magento Core API","Magento Core Api"
"Magento Core API Section","Секция Magento Core Api"
"Roles","Роли"
"Unable to login.","Неуспешен вход."
"User Name","Потребителско име"
"Users","Потребители"
"WS-I Compliance","WS-I Compliance"
"Web Services","Уеб услуги"
"Your account has been deactivated.","Вашият профилът е деактивиран."
