"# of Use","# в употреба"
"%1$s incl tax.","%1$s вкл. данък"
"%s - %s","%s - %s"
"%s Item(s)","%s обекта"
"(%d)","(%d)"
"(Copy data from: %s)","(Копиране на данни от: %s)"
"(Will make search for the query above return results for this search.)","(Търсенето задължително ще върне резултат.)"
"* Required Fields","* Задължителни полета"
"-- Please Select --","-- Моля изберете --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 по подразбиране, ако не е зададено. За незабавно обновяване, изчистете HTML кеша на блоковете."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend."
"A group with the same name already exists.","Вече съществува група с това име."
"A name is required","Името е задължително"
"A product type is not defined for the indexer.","Индексаторът няма дефиниран тип на продукта."
"ALL GROUPS","Всички Групи"
"AM","АМ"
"Action","Действие"
"Actual Price","Actual Price"
"Add","Добави"
"Add Attribute","Добави атрибут"
"Add Design Change","Добави дизайн промяна"
"Add Group","Добави група"
"Add New","Добави нов"
"Add New Attribute","Добави нов атрибут"
"Add New Attribute Set","Добави нова група атрибути"
"Add New Group","Добави нова група"
"Add New Images","Добави нови изображения"
"Add New Option","Добави нова опция"
"Add New Row","Добави нов ред"
"Add New Search Term","Добави критерий на търсене"
"Add New Set","Добави нова група"
"Add Product","Добави продукт"
"Add Product To Websites","Добави продукт към Уебсайтове"
"Add Root Category","Добави главна категория"
"Add Subcategory","Добави под-категория"
"Add Tax","Добави данък"
"Add Tier","Добави ниво"
"Add attribute into attribute set","Добави атрибута към групата атрибути"
"Add group into attribute set","Add group into attribute set"
"Add new custom option into product","Add new custom option into product"
"Add new values into custom option","Добави нова стойност към опциите"
"Add option","Добави опция"
"Add to Cart","Купи"
"Add to Compare","Добави за сравнение"
"Add to Wishlist","Добави към списък с желания"
"Additional Information","Допълнителна информация"
"Alert Urls","Адреси за предупреждение"
"All","Всичко"
"All Product Types","Всички типове продукти"
"All Websites","Всички уебсайтове"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Всички продукти от тази Продукт група ще бъдат изтрити! Сигурен ли сте, че искате да го изтриете?"
"Allow All Products per Page","Разрешаване на всички продукти на страница"
"Allow Dynamic Media URLs in Products and Categories","Разрешаване на Динамични медйини линкове в продукти и категории"
"Allow HTML Tags on Frontend","Разрешаване на HTML тагове в публичния сайт"
"Allowed File Extensions","Разрешени файлови разширения"
"Allowed file extensions to upload","Разрешени Файлови разширения за качване"
"An error occurred while adding products to websites.","Възникна грешка при добавяне на продукти към Уебсайтове."
"An error occurred while clearing comparison list.","Възникна грешка при изчистване на списъка за сравнение."
"An error occurred while deleting this review.","Възникна грешка при изтриването на това мнение"
"An error occurred while removing products from websites.","Възникна грешка при премахване на продукти от Уебсайтове."
"An error occurred while saving the URL rewrite","Възникна грешка при съхраняване на URL презаписване."
"An error occurred while saving the attribute set.","Възникна грешка при съхраняване на Атрибут група."
"An error occurred while saving the product. ","Възникна грешка при съхраняване на продукта. "
"An error occurred while saving the search query.","Възникна грешка при съхраняване на низа за търсене."
"An error occurred while saving this group.","Възникна грешка при съхраняване на тази група."
"An error occurred while saving this review.","Възникна грешка при записа на това мнение"
"An error occurred while trying to delete the category.","Възникна грешка при опит за изтриване на категорията."
"An error occurred while updating the product(s) attributes.","Възникна грешка при обновяване атрибутите на продукта/продуктите."
"An error occurred while updating the product(s) status.","Възникна грешка при обновяване статуса на продукта/продуктите."
"An invalid group ID is specified, skipping the record.","An invalid group ID is specified, skipping the record."
"An invalid option ID is specified for %s (%s), skipping the record.","Невалиден идентификатор на опция за %s (%s), пропускане на записа."
"An invalid store was specified.","Посочен е невалиден магазин."
"Anchor Custom Text","Нов текст за връзка"
"Anchor Custom Title","Ново заглавие за връзка"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Приложимо само към продукти и категории в каталога. Всякакво медийно съдържание ще бъде вмъкнато в редактора като статичен линк, който няма да бъде обновен при промяна на базисния линк (base URL) в системната конфигурация."
"Apply MAP (Default Value)","Apply MAP (Default Value)"
"Apply To","Приложи към"
"Approved","Одобрено"
"Are you sure you want to delete this category?","Сигурен ли сте, че искате да изтриете тази категория?"
"Are you sure you would like to remove all products from your comparison?","Сигурен ли сте, че искате да премахнете всички продукти от списъка за сравнение?"
"Are you sure you would like to remove this item from the compare products?","Сигурен ли сте, че искате да премахнете този продукт от списъка за сравнение?"
"Are you sure?","Сигурен ли сте?"
"As low as:","Най-ниска цена:"
"Assign","Присъедини"
"Assign product link","Присъедини линк към продукт"
"Assign product to category","Присъедини линк към категория"
"Assigned Products","Присъединени продукт"
"Associated Products","Асоциирани продукти"
"Attrib. Set Name","Име на Атрибут група"
"Attribute ""%s"" is invalid.","Атрибут ""%s"" е невалиден."
"Attribute ""%s"" is required.","Атрибут ""%s"" е задължителен."
"Attribute Information","Информация за атрибута"
"Attribute Model","Модел на атрибута"
"Attribute Name:","Име на атрибута:"
"Attribute Set","Атрибут група"
"Attribute Sets","Attribute Sets"
"Attribute add","Attribute add"
"Attribute group with the \"/name/\" name already exists","Вече съществува група атрибути с име \"/name/\""""
"Attribute remove","Attribute remove"
"Attribute with the same code already exists","Има съществуващ атрибут с този код"
"Attributes","Атрибути"
