"%s","%s"
"%s already exist.","%s вече съществува."
"%s already exists.","%s вече съществуват."
"-- Please Select --","-- Моля изберете --"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain"
"A category object is required for determining the product request path.","За определянето на път за заявка на продукт е необходим обект за категория."
"Add Block Names to Hints","Добави имена на блокове към подсказка"
"Add Secret Key to URLs","Добави таен ключ към URL"
"Add Store Code to Urls","Add Store Code to Urls"
"Admin","Админ"
"Admin Base URL","Базово URL за администрация"
"Admin User Emails","Административни потребителски имейли"
"Advanced","Разширено"
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete."
"Allow Countries","Позволи държави"
"Allow Symlinks","Allow Symlinks"
"Allowed IPs (comma separated)","Позволени IP адреси (с разделител запетайка)"
"Allowed file types: ICO, PNG, GIF, JPEG, APNG, SVG. Not all browsers support all these formats!","Разрешени файлове: ICO, PNG, GIF, JPEG, APNG, SVG. Не всички браузъри поддържат тези формати!"
"Allows customers to stay logged in when switching between different stores.","Позволява клиентите да остават оторизирани в системата при превключване между различни магазини."
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Алтернативен текст за линк Следваща в менюто за страниране. Ако е празно ще бъде използвано системното изображение по подразбиране."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Алтернативен текст за линк Предишна в менюто за страниране. Ако е празно ще бъде използвано системното изображение по подразбиране."
"An error occurred while saving. Please review the error log.","Намерена е грешка при записване. Моля прегледайте дневника за грешки."
"Anchor Text for Next","Текст на линка за Следваща"
"Anchor Text for Previous","Текст на линка за Предишна"
"Anchor symbol (#) is not supported in request path","Anchor symbol (#) is not supported in request path"
"Anchor symbol (#) is not supported in url rewrite suffix","Anchor symbol (#) is not supported in url rewrite suffix"
"Are you sure?","Сигурен ли сте?"
"Auto-redirect to Base URL","Пренасочване към основния URL"
"Back","Обратно"
"Backup Options","Опции за архивиране"
"Base JavaScript URL","Базово ULR за JavaScript"
"Base Link URL","Вазово URL за линк"
"Base Media URL","Вазово URL за медия"
"Base Skin URL","Вазово URL за скин"
"Base URL","Базов URL адрес"
"Before modifying the store view code please make sure that it is not used in index.php.","Преди да модифицирате кода за изглед на магазина, се убедете, че не е използван в index.php."
"Before modifying the website code please make sure that it is not used in index.php.","Преди да модифицирате кода на уебсайта, се убедете, че не е използван в index.php."
"Block with name ""%s"" already exists","Блок с име ""%s"" вече съществува"
"Browser Capabilities Detection","Откриване на възможностите на браузър"
"CSS Settings","CSS Настройки"
"Cache Storage Management","Управление хранилище на кеш"
"Cache storage may contain additional data. Are you sure that you want flush it?","Хранилището на кеш може да съдържа и допълнителни данни. Сигурен ли сте, че искате да го изпразните?"
"Can not create invoice. Order was not found.","Can not create invoice. Order was not found."
"Can't retrieve request object","Невъзможно е извличането на обект за заявка"
"Can\'t retrieve entity config: %s","Can\'t retrieve entity config: %s"
"Cancel","Отказ"
"Cannot complete this operation from non-admin area.","Тази операция не може да бъде завършена извън адмнистративния панел."
"Card type does not match credit card number.","Типа на картата не позволява този номер на кредитна карта"
"Code","Код"
"Controller file was loaded but class does not exist","Файлът за контролер беше зареден, но класът не съществува"
"Cookie Domain","Домейн за Cookie"
"Cookie Lifetime","Период на валидност на Cookie"
"Cookie Path","Път за Cookie"
"Copyright","Авторски права"
"Core","Ядро"
"Countries Options","Опции за държави"
"Create Store","Създай магазин"
"Create Store View","Създай изглед на магазин"
"Create Website","Създай уебсайт"
"Credit card number does not match credit card type.","Номера на кредитната карта не съвпада с избрания тип кредитна карта"
"Current Package Name","Име на текущ пакет"
"Custom Admin Path","Custom Admin Path"
"Custom Admin URL","URL за администрация по избор"
"Custom Design","Дизайн по избор"
"Custom Email 1","Друг Имейл 1"
"Custom Email 2","Друг Имейл 2"
"Custom Variables","Други променливи"
"Customer Support","Клиентска поддръжка"
"Dashboard","Табло"
"Date From","Дата от"
"Date To","Дата до"
"Date/time format ""%s"" is not supported.","Формат за дата/време ""%s"" не се поддържа."
"Debug","Дебъг"
"Default","По подразбиране"
"Default Country","Държава по подразбиране"
"Default Description","Описание по подразбиране"
"Default Keywords","Кл. думи по подразбиране"
"Default No-route URL","URL по подразбиране при липса на маршрут"
"Default Pages","Страници по подразбиране"
"Default Robots","Роботи по подразбиране"
"Default Store","Магазин по подразбиране"
"Default Store View","Изглед на магазин по подразбиране""
"Default Title","Заглавие по подразбиране"
"Default Web URL","Уеб URL по подразбиране"
