"Active","Активно"
"Add Attribute Mapping","Добави свързване на атрибут"
"Add New Attribute","Добави нов атрибут"
"Add to Google Base","Добави към Гугъл Base"
"Are you sure?","Сигурен ли сте?"
"Attribute","Атрибут"
"Attribute Set","Атрибут група"
"Attribute Set and Item Type","Атрибут група и тип на продукт"
"Attributes","Атрибути"
"Attributes Mapping","Свързване на атрибути"
"Attributes Set","Атрибут групи"
"AuthSub","AuthSub"
"Available Products","Налични продукти"
"Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base.","Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base."
"Captcha confirmation error: %s","Грешка при потвърждаване на изображение за сигурност: %s"
"Captcha has been confirmed.","Изображението за сигурност беше потвърдена."
"Catalog","Каталог"
"Clicks","Кликове"
"ClientLogin","ClientLogin"
"Confirm","Потвърди"
"Current Mapping will be reloaded. Continue?","Текущото свързване ще бъде презаредено. Продължи?"
"Custom attribute, no mapping","Собствен атрибут, без свързване"
"Delete","Изтрий"
"Delete Mapping","Изтрий свързване"
"Edit Item Type","Редактирай тип"
"Edit Item Type ""%s""","Редакция на тип ""%s"""
"Error: %s","Грешка: %s"
"Expires","Изтича"
"Google","Гугъл"
"Google Base","Гугъл Base"
"Google Base Attribute","Гугъл Base атрибут"
"Google Base ID","Гугъл Base ID"
"Google Base Item Type","Гугъл Base тип артикул"
"Google Base Item type","Гугъл Base тип артикул"
"Google Base Items","Гугъл Base артикули"
"Google base","Гугъл base"
"Hide","Скрий"
"Hosted","Съхранени"
"Hosted or Google","Съхранени на Гугъл"
"Impr.","Импр."
"Invalid Product Model for Google Base Item","Невалиден продукт модел за Гугъл Base артикул"
"Item Type was deleted","Типът е изтрит"
"Item Types","Типове артикули"
"Item model is not specified to delete Google Base entry.","Не е определен модел на обект за изтриване запис от Гугъл Base."
"Items","Артикули"
"Manage Attribute Mapping","Управление на свързване на атрибути"
"Manage Attributes","Управление на атрибути"
"Manage Items","Управление на артикули"
"New Item Type","Нов тип артикул"
"New ItemType","Нов тип артикул"
"No","Не"
"No items were deleted from Google Base","Не бяха изтрити артикули от Гугъл Base"
"No items were published","Не бяха публикувани артикули"
"No items were saved as inactive items","Не бяха записани артикули като неактивни"
"No products were added to Google Base","Не бяха добавени продукти на Гугъл Base"
"Object model is not specified to save Google Base entry.","Не е определен модел на обект за записване на запис на Гугъл Base."
"Please, select Attribute Set and Google Item Type to load attributes","Моля, изберете атрибут група и Гугъл тип артикул за зареждане на атрибути"
"Product Name","Име на продукт"
"Publish","Публикувай"
"Published","Публикувано"
"Remove","Премахни"
"Save Mapping","Запиши свързване"
"Session expired during export. Please revise exported products and repeat the process if necessary.","Сесията изтече по време на експорт. Моля преразгледайте експортираните продукти и повторете процеса ако е необходимо."
"Synchronize","Синхронизирай"
"Target Country","Целева държава"
"The item type has been saved.","Типът артикул беше записан."
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Това действие ще обнови статистики за артикули и ще премахне артикули, които не са налични в Гугъл Base. Продължи?"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","Общо %d артикула бяха изтрити; общо %d артикула бяха обновени."
"Total of %d items(s) have been published.","Общо %d артикула бяха публикувани."
"Total of %d items(s) have been removed from Google Base.","Общо %d артикула бяха премахнати от Гугъл Base."
"Total of %d items(s) have been saved as inactive items.","Общо %d артикула бяха записани като неактивни."
"Total of %d product(s) have been added to Google Base.","Общо %d продукта бяха добавени в Гугъл Base."
"Unable to connect to Google Base. Please, check Account settings in configuration.","Невъзможна е комуникацията с Гугъл Base. Моля, проверете настройки на профила в конфигурация."
"Unable to select a Store View.","Невъзможен е избора на изглед на магазин."
"View Available Products","Прегледай налични продукти"
"View Item in Google Base","Прегледай артикул в Гугъл Base"
"Yes","Да"
