"$0 Auth","$0 Auth"
"$1 Auth","$1 Auth"
"-OR-","ИЛИ"
"2-pixel perimeter around the header space.","2-pixel perimeter around the header space."
"3D Secure","3D Secure"
"3D Secure Card Validation","3D Secure Card валидация"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href="http://www.magentocommerce.com/paypal">Start accepting payments via PayPal!</a>"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","A value is required for live mode. Refer to your CardinalCommerce agreement."
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH Deposit (Hold for Dispute or Other Investigation)"
"ACH Deposit (Reversal)","ACH Deposit (Reversal)"
"ACH Funding for Funds Recovery from Account Balance","ACH Funding for Funds Recovery from Account Balance"
"ACH Withdrawal","ACH Withdrawal"
"API Authentication Methods","API Authentication Methods"
"API Certificate","API Certificate"
"API Password","API парола"
"API Signature","API сигнатура"
"API Username","API потребителско име"
"API Uses Proxy","API Прокси"
"API/Integration","API/Интеграция"
"API/Integration Settings","API/Интеграция настройки"
"Ability for buyer to purchase without PayPal account.","Възможност за купувача да закупува без профил в PayPal.""
"Accept PayPal payments in your shopping cart. PayPal will process your credit card payments through the Payflow Pro Gateway.","Accept PayPal payments in your shopping cart. PayPal will process your credit card payments through the Payflow Pro Gateway."
"Accept payments without customers leaving your website. Many popular web-hosting services and shopping carts come with the Payflow payment gateways built in, so they are easy to set up.","Приеми PayPal плащания във количката. PayPal ще процесира плащанията през кредитна карта чрез виртуален терминал Payflow Pro."
"Acceptance Mark","Печат за приемане"
"Acceptance Mark Image","Изображение за Печат за приемане"
"Account-to-Account Payment, initiated by PayPal","Плащане Профил-към-профил, започнато от PayPal"
"Add an Express Checkout button to your existing shopping cart for quick and easy credit card payments. PayPal handles all payment processing.","Добави Express Checkout бутон към количката за за бързи и лесни плащания с кредитна карта. PayPal управлява цялото процесиране на плащането."
"Additional Options","Допълнтиелни опции"
