"Alert Email Sender","Подател на уведомяващ имел"
"Alert subscription has been saved.","Абониране за уведомяване е записано."
"Allow Alert When Product Comes Back in Stock","Позволи уведомяване, когато продуктът отново стане наличен."
"Allow Alert When Product Price Changes","Позволи уведомяване, когато цена на продукт се промени"
"Click here not to receive alerts for this product","Кликнете тук за да не получавате повече уведомяване за този продукт"
"Error Email Recipient","Имейл получател за грешки"
"Error Email Sender","Имейл подател за грешки"
"Error Email Template","Имейл шаблон за грешки"
"Frequency","Честота"
"Not enough parameters.","Недостатъчно параметри."
"Price Alert Email Template","Шаблон за имейл за известяване за цена"
"Price:","Цена:"
"Product Alerts","Уведомявания за продукти"
"Product Alerts Run Settings","Настройки за стартиране на уведомявания за продукти"
"Product alerts Cron error","Cron грешки за уведомявания за продукт"
"Product price alert","Уведомяване за цена на продукт"
"Product stock alert","Уведомяване за наличност на продукт"
"Regular Price:","Редовна цена:"
"Sign up for price alert","Запишете се за уведомяване за цена"
"Sign up to get notified when this product is back in stock","Запишете се за уведомяване, когато този продукт е отново в наличност"
"Special price:","Специална цена:"
"Start Time","Начало"
"Stock Alert Email Template","Шаблон за уведомяващ имел"
"The alert subscription has been deleted.","Абонаментът за уведомяване беше изтрит."
"The alert subscription has been saved.","Абонаментът за уведомяване беше записан."
"The product is not found.","Продуктът не е намерен."
"The product was not found.","Продуктът не беше намерен."
"Unable to update the alert subscription.","Невъзможно е обновяването на абонамента за известяване."
"Unsubscribe from all price alerts","Анулирай абонамента за всички уведомявания за цена"
"Unsubscribe from all stock alerts","Анулирай абонамента за всички уведомявания за наличност"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Получавате това съобщение, понеже сте се абонирали за получаване на увеодмление, когато следните продукти са отново в наличност:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Получавате това съобщение, понеже сте се абонирали за получаване на увеодмление, когато цените на следните продукти се променят:"
"You will no longer receive price alerts for this product.","Няма повече да получавате уведомявания за цена за този продукт."
"You will no longer receive stock alerts for this product.","Няма повече да получавате уведомявания за наличности за този продукт."
"You will no longer receive stock alerts.","Няма повече да получавате уведомявания за наличности."
