"%d Review(s)","%d Мнение/мнения"
"%s Review(s)","%s Мнение/мнения"
"(Posted on %s)","(Публикувано на %s)"
"1 star","1 звезда"
"2 stars","2 звезди"
"3 stars","3 звезди"
"4 stars","4 звезди"
"5 stars","5 звезди"
"Add New Review","Добави ново мнение"
"Add Your Review","Добавете вашето мнение"
"Administrator","Администратор"
"All Reviews","Всички мнения"
"All Reviews of Customer `%s`","Всички мнения на клиент `%s`"
"Allow Guests to Write Reviews","Позволи писане на мнения от гости"
"Are you sure you want to do this?","Сигурен ли сте, че искате да направите това?"
"Are you sure?","Сигурен ли сте?"
"Average Customer Rating","Средно гласуване на клиент"
"Average Customer Rating:","Средно гласуване на клиент:"
"Back","Обратно"
"Back to Main Product Info","Обратно към основна информация за продукт"
"Back to My Reviews","Обратно към Моите мнения"
"Back to Product Reviews","Обратно към мнения за продукт"
"Be the first to review this product","Дайте първото мнение за този продукт"
"Catalog Product Review View","Изглед мнение за продукт"
"Catalog Product Reviews List","Списък мнения за продукт"
"Created On","Създадено на"
"Customer","Клиент"
"Customer My Account Product Reviews","Клиент - нения за продукт в Моя профил"
"Customer My Account Review Details","Клиент - информация за мнение в Моя профил"
"Customer Reviews","Мнения на клиенти"
"Customers Reviews","Мнения на клиенти"
"Delete","Изтрий"
"Delete Review","Изтрий мнение"
"Detailed Rating","Подробен рейтинг"
"Edit Review '%s'","Редакция на мнение '%s'"
"Guest","Гост"
"How do you rate this product?","Как оценявате този продукт?"
"ID","ID"
"Manage Ratings","Управление на гласувания"
"My Product Reviews","Моите мнения"
"My Recent Reviews","Моите последни мнения"
"Name","Име"
"Name in Store","Име в магазин"
"New Review","Ново мнение"
"Nickname","Име/Псевдоним"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Само регистрирани потребители могат да пишат мнения и коментари. Моля, <a href=""%s"">влезте в системата</a> или <a href=""%s"">се регистрирайте</a>"
"Pending Reviews","Мнения в изчакване"
"Pending Reviews of Customer `%s`","Мнения в изчакване на клиент `%s`"
"Please select a product","Моля изберете продукт"
"Please select one of each of the ratings above","Моля изберете едно от всички гласувания по-горе"
"Posted By","Публикувано от"
"Price","Цена"
"Product","Продукт"
"Product Name","Име на продукт"
"Product Rating","Оценка на продукт"
"Product Rating:","Оценка на продукт:"
"Product Review (submitted on %s):","Мнение за продукт (публикувано на %s):"
"Product Reviews","Мнения за продукт"
"Product SKU","Кат. №"
"Products Reviews","Мнения за продукти"
"Qty","Кол."
"Rating:","Оценка:"
"Review","Мнение"
"Review (submitted on %s):","Мнение (публикувано на %s):"
"Review Details","Информация за мнение"
"Review Form Fields Before","Review Form Fields Before"
"Review by <span>%s</span>","Мнение на <span>%s</span>"
"Reviews and Ratings","Мнения и оценки"
"SKU","Кат. №"
"Save Review","Запиши мнение"
"Status","Статус"
"Submit Review","Изпрати мнение"
"Summary Rating","Обща оценка"
"Summary of Review","Обобщение на мнение"
"Summary of Your Review","Заглавие на вашето мнение"
"Title","Заглавие"
"Type","Тип"
"Unable to post the review.","Unable to post the review."
"Update Status","Обнови статус"
"View All Reviews","Виж всички мнения"
"View Details","Преглед"
"Visible In","Видимо в"
"Websites","Уебсайтове"
"Write Your Own Review","Напишете своето собствено мнение"
"You have submitted no reviews.","Нямате публикувани мнения."
"You're reviewing:","Вашето мнение за:"
"Your Rating:","Вашата оценка:"
"Your Review (submitted on %s):","Ваше мнение (публикувано на %s):"
"Your review has been accepted for moderation.","Вашето мнение е прието за одобрение от администратор"
