" was not delivered nor scanned"," Пощ. код е диапазон"
"1 Day Freight","1 Day Freight"
"2 Day","2 Day"
"2 Day Freight","2 Day Freight"
"2Day","2Day"
"2nd Day Air","2nd Day Air"
"2nd Day Air AM","2nd Day Air AM"
"2nd Day Air AM Letter","2nd Day Air AM Letter"
"2nd Day Air Letter","2nd Day Air Letter"
"3 Day Freight","3 Day Freight"
"3 Day Select","3 Day Select"
"Access ID","ID за достъп"
"Access License Number","Лицензен номер за достъп"
"Account ID","Профил ID"
"Account Number","Номер на профил"
"Additional Protection Configuration Value","Конфигурационна стойност за допълнителна протекция"
"Additional Protection Enabled","Активна допълнителна протекция"
"Additional Protection Min Subtotal","Минимална междинна сума за допълнителна протекция"
"Additional Protection Value","Стойност за допълнителна протекция"
"Additional Protection Value Rounding Method","Метод за закръгляне на стойност за допълнителна протекция"
"Adult","Adult"
"Adult Signature Required","Adult Signature Required"
"Allowed Methods","Позволени методи"
"Bound Printed Matter","Подвързани печатни материали"
"Business Service Center","Център за бизнес услуги"
"Calculate Handling Fee","Калкулирай такса за опаковане"
"Canada Standard","Canada Standard"
"Cannot retrieve shipping rates","Невъзможно е извличането на доставни ставки"
"Commercial","Търговски"
"Configuration","Конфигурация"
"Container","Контейнер"
"Customer Packaging","Пакетиране за клиент"
"Customer Supplied Package","Customer Supplied Package"
"DHL","DHL"
"Debug","Дебъг"
"Default Package Height","Височина на пакет по подразбиране"
"Default Package Length","Дължина на пакет по подразбиране"
"Default Package Width","Широчина на пакет по подразбиране"
"Delivered","Доставено"
"Delivery Confirmation","Delivery Confirmation"
"Destination Type","Тип дестинация"
"Development","Разработка"
"Direct","Direct"
"Displayed Error Message","Показано съобщение за грешка"
"Documents","Documents"
"Domestic Shipment Days","Дни за вътрешна доставка"
"Drop Box","Drop Box"
"Dropoff","Dropoff"
"Empty response","Празен отговор"
"Enable Negotiated Rates","Активирай договорени ставки"
"Enabled for Checkout","Enabled for Checkout"
"Enables/Disables SSL verification of Magento server by UPS.","Активира/деактивира SSL верификация на Magento сървъра от UPS."
"Error #%s : %s (%s)","Грешка #%s : %s (%s)"
"Error #%s: %s","Грешка #%s: %s"
"Europe First Priority","Europe First Priority"
"Express","Express"
"Express 10:30 AM","Express 10:30 AM"
"Express Mail","Express Mail"
"Express Saturday","Express Saturday"
"Express Saver","Express Saver"
"Failed to parse xml document: %s","Неуспешна обработка на xml документ: %s"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx 10kg кутия"
"FedEx 25kg Box","FedEx 25kg кутия"
"FedEx Box","FedEx Box"
"FedEx Envelope","FedEx Envelope"
"FedEx Pak","FedEx Pak"
"FedEx Tube","FedEx Tube"
"First Overnight","First Overnight"
"First-Class","First-Class"
"Flat","Flat"
"Flat-Rate Box","Flat-Rate Box"
"Flat-Rate Envelope","Flat-Rate Envelope"
"Free Method","Безплатен метод"
"Free Shipping with Minimum Order Amount","Безплатна доставка с минимална цена на поръчка"
"Freight","Freight"
"Gateway URL","Gateway URL"
"Gateway XML URL","Gateway XML URL"
"Gift","Подарък"
"Girth","Girth"
"Ground","Ground"
"Ground Commercial","Ground Commercial"
"Ground Residential","Ground Residential"
"Handling Applied","Приложено е опаковане"
"Handling Fee","Такси за опаковане"
"Height","Height"
"Home Delivery","Доставка до дома"
"Indirect","Indirect"
"International Economy","International Economy"
"International Express","International Express"
"International First","International First"
"International Ground","International Ground"
"International Priority","International Priority"
"International Shipment Days","International Shipment Days"
